"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Informe"
"2023-03-18","14:00","Matchweek 26","Sat","Home","D","1","1","Almería","1","16","4","25.0","0.00","0.00","15.7","1","1","1","2.4","1.6","0.11","-1.4","-1.6","Match Report"
"2023-04-01","18:30","Matchweek 27","Sat","Away","W","2","0","Sevilla","2","11","5","45.5","0.18","0.40","15.8","0","0","0","1.1","1.1","0.10","+0.9","+0.9","Match Report"
"2023-04-09","16:15","Matchweek 28","Sun","Home","L","0","2","Betis","0","9","2","22.2","0.00","0.00","15.5","1","0","0","1.2","1.2","0.14","-1.2","-1.2","Match Report"
"2023-04-15","21:00","Matchweek 29","Sat","Away","W","2","0","Real Madrid","2","35","11","31.4","0.06","0.18","16.8","1","0","0","3.5","3.5","0.10","-1.5","-1.5","Match Report"
"2023-04-21","21:00","Matchweek 30","Fri","Home","D","0","0","Espanyol","0","14","5","35.7","0.00","0.00","14.7","1","0","0","1.3","1.3","0.10","-1.3","-1.3","Match Report"
"2023-04-25","19:30","Matchweek 31","Tue","Away","W","1","0","Osasuna","1","6","4","66.7","0.17","0.25","15.9","0","0","0","1.0","1.0","0.17","0.0","0.0","Match Report"
"2023-04-30","14:00","Matchweek 32","Sun","Away","L","1","2","Valencia","1","16","3","18.8","0.06","0.33","16.0","0","0","0","1.3","1.3","0.08","-0.3","-0.3","Match Report"
"2023-05-03","22:00","Matchweek 33","Wed","Home","W","5","1","Atlético Madrid","5","17","7","41.2","0.24","0.57","14.5","0","1","1","3.0","2.2","0.13","+2.0","+1.8","Match Report"
"2023-05-12","21:00","Matchweek 34","Fri","Home","W","1","0","Mallorca","1","8","3","37.5","0.13","0.33","12.1","0","0","0","1.2","1.2","0.17","-0.2","-0.2","Match Report"
"2023-05-19","21:00","Matchweek 35","Fri","Away","L","0","2","Valladolid","0","6","2","33.3","0.00","0.00","16.2","0","0","0","0.7","0.7","0.12","-0.7","-0.7","Match Report"
"2023-05-24","19:30","Matchweek 36","Wed","Home","W","2","0","Villarreal","2","13","7","53.8","0.15","0.29","20.0","3","0","0","2.4","2.4","0.18","-0.4","-0.4","Match Report"
"2023-05-28","19:00","Matchweek 37","Sun","Away","L","0","1","Celta Vigo","0","9","4","44.4","0.00","0.00","20.3","1","0","0","0.6","0.6","0.07","-0.6","-0.6","Match Report"
"2023-06-04","21:00","Matchweek 38","Sun","Home","D","1","1","Elche","1","12","5","41.7","0.08","0.20","15.8","0","0","0","1.6","1.6","0.13","-0.6","-0.6","Match Report"
