"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2022-08-15","17:30","Matchweek 1","Mon","Home","D","0","0","Mallorca","0","23","6","26.1","0.00","0.00","17.9","0","0","0","1.6","1.6","0.07","-1.6","-1.6","Match Report"
"2022-08-21","17:30","Matchweek 2","Sun","Home","W","1","0","Valencia","1","12","2","16.7","0.08","0.50","19.9","0","0","0","1.0","1.0","0.09","0.0","0.0","Match Report"
"2022-08-29","20:00","Matchweek 3","Mon","Away","W","4","0","Cádiz","4","19","7","36.8","0.21","0.57","16.9","0","0","1","2.4","1.6","0.09","+1.6","+2.4","Match Report"
"2022-09-04","16:15","Matchweek 4","Sun","Home","L","0","1","Espanyol","0","17","2","11.8","0.00","0.00","19.1","0","0","0","1.2","1.2","0.07","-1.2","-1.2","Match Report"
"2022-09-11","16:15","Matchweek 5","Sun","Away","W","4","1","Elche","3","15","7","46.7","0.13","0.29","16.3","0","1","1","2.7","1.9","0.13","+0.3","+0.1","Match Report"
"2022-09-17","21:00","Matchweek 6","Sat","Home","W","3","2","Rayo Vallecano","3","14","7","50.0","0.21","0.43","14.9","0","0","0","1.9","1.9","0.14","+1.1","+1.1","Match Report"
"2022-09-30","21:00","Matchweek 7","Fri","Home","W","4","0","Almería","4","16","3","18.8","0.19","1.00","18.6","1","1","1","2.1","1.3","0.08","+1.9","+1.7","Match Report"
"2022-10-08","18:30","Matchweek 8","Sat","Away","D","1","1","Sevilla","1","21","4","19.0","0.05","0.25","18.3","2","0","0","1.7","1.7","0.08","-0.7","-0.7","Match Report"
"2022-10-15","21:00","Matchweek 9","Sat","Home","L","0","1","Atlético Madrid","0","13","3","23.1","0.00","0.00","18.0","1","0","0","1.2","1.2","0.10","-1.2","-1.2","Match Report"
"2022-10-18","20:00","Matchweek 10","Tue","Away","D","2","2","Getafe","2","14","4","28.6","0.14","0.50","18.4","1","0","0","1.0","1.0","0.07","+1.0","+1.0","Match Report"
"2022-10-23","21:00","Matchweek 11","Sun","Away","L","0","4","Barcelona","0","5","1","20.0","0.00","0.00","17.5","0","0","0","0.5","0.5","0.10","-0.5","-0.5","Match Report"
"2022-10-30","18:30","Matchweek 12","Sun","Home","W","1","0","Villarreal","1","19","7","36.8","0.05","0.14","18.0","0","0","0","1.7","1.7","0.09","-0.7","-0.7","Match Report"
"2022-11-04","21:00","Matchweek 13","Fri","Away","L","1","2","Girona","1","11","7","63.6","0.09","0.14","19.4","0","0","0","0.7","0.7","0.06","+0.3","+0.3","Match Report"
"2022-11-08","20:00","Matchweek 14","Tue","Home","W","3","0","Valladolid","3","19","6","31.6","0.16","0.50","14.6","1","0","0","2.1","2.1","0.11","+0.9","+0.9","Match Report"
"2022-12-29","19:15","Matchweek 15","Thu","Away","D","0","0","Betis","0","10","0","0.0","0.00","","20.2","0","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2023-01-09","21:00","Matchweek 16","Mon","Home","D","0","0","Osasuna","0","17","3","17.6","0.00","0.00","22.1","0","0","0","1.0","1.0","0.06","-1.0","-1.0","Match Report"
"2023-01-14","21:00","Matchweek 17","Sat","Away","L","1","3","Real Sociedad","1","6","2","33.3","0.17","0.50","15.1","0","0","0","0.3","0.3","0.05","+0.7","+0.7","Match Report"
"2023-01-22","21:00","Matchweek 18","Sun","Home","L","0","2","Real Madrid","0","18","3","16.7","0.00","0.00","15.4","0","0","0","1.1","1.1","0.07","-1.1","-1.1","Match Report"
"2023-01-29","18:30","Matchweek 19","Sun","Away","L","0","1","Celta Vigo","0","5","0","0.0","0.00","","20.3","0","0","0","0.4","0.4","0.07","-0.4","-0.4","Match Report"
"2023-02-03","21:00","Matchweek 20","Fri","Home","W","4","1","Cádiz","4","17","9","52.9","0.24","0.44","16.8","0","0","0","1.7","1.7","0.11","+2.3","+2.3","Match Report"
"2023-02-11","21:00","Matchweek 21","Sat","Away","W","2","1","Valencia","2","11","3","27.3","0.18","0.67","13.4","0","0","0","1.5","1.5","0.14","+0.5","+0.5","Match Report"
"2023-02-19","18:30","Matchweek 22","Sun","Away","L","0","1","Atlético Madrid","0","8","2","25.0","0.00","0.00","15.5","0","0","0","0.8","0.8","0.10","-0.8","-0.8","Match Report"
