"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
11,"2023-09-22","Matchweek 6","Away","Oihan Sancet","Alavés","Y",0.07,0.37,"Right Foot",20,"76","1-0","Antonio Sivera","Iñaki Williams","Iñaki Williams","Pass (Live)","Oihan Sancet","Pass (Live)","Deflected"
12,"2023-09-27","Matchweek 7","Home","Yuri Berchiche","Getafe","Y",0.02,0.06,"Left Foot",24,"6","0-0","David Soria","Álex Berenguer","Álex Berenguer","Pass (Dead)","Daniel Vivian","Fouled",""
13,"2023-09-27","Matchweek 7","Home","Iñaki Williams","Getafe","Y",0.15,0.67,"Left Foot",14,"62","1-1","David Soria","Óscar de Marcos","Iñaki Williams","Take-On","Óscar de Marcos","Pass (Live)",""
14,"2023-10-06","Matchweek 9","Home","Gorka Guruzeta","Almería","Y",0.2,0.85,"Left Foot",7,"10","0-0","Luís Maximiano","Yuri Berchiche","Yuri Berchiche","Pass (Live)","Nico Williams","Pass (Live)",""
15,"2023-10-06","Matchweek 9","Home","Dani García","Almería","Y",0.35,0.72,"Head",8,"63","1-0","Luís Maximiano","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Oihan Sancet","Pass (Live)",""
16,"2023-10-06","Matchweek 9","Home","Oihan Sancet","Almería","Y",0.25,0.92,"Right Foot",6,"81","2-0","Luís Maximiano","","Nico Williams","Take-On","Daniel Vivian","Pass (Live)",""
17,"2023-10-29","Matchweek 11","Home","Óscar de Marcos","Valencia","Y*",0.16,0.22,"Right Foot",9,"32","0-0","Giorgi Mamardashvili","Nico Williams","Nico Williams","Pass (Live)","Oihan Sancet","Pass (Live)",""
18,"2023-10-29","Matchweek 11","Home","Álex Berenguer","Valencia","N",0.63,0.83,"Head",5,"90+7","1-2","Giorgi Mamardashvili","Iñaki Williams","Iñaki Williams","Pass (Live)","Óscar de Marcos","Pass (Live)",""
19,"2023-11-05","Matchweek 12","Away","Iñigo Ruiz de Galarreta","Villarreal","Y",0.07,0.4,"Right Foot",22,"2","0-0","Filip Jørgensen","Nico Williams","Nico Williams","Pass (Live)","Iñigo Lekue","Pass (Live)",""
20,"2023-11-05","Matchweek 12","Away","Nico Williams","Villarreal","Y",0.92,0.96,"Right Foot",3,"22","1-0","Filip Jørgensen","Oihan Sancet","Oihan Sancet","Pass (Live)","Nico Williams","Pass (Live)",""
21,"2023-11-05","Matchweek 12","Away","Iñaki Williams","Villarreal","Y",0.06,0.15,"Right Foot",22,"30","2-0","Filip Jørgensen","Oihan Sancet","Oihan Sancet","Pass (Live)","","",""
22,"2023-11-10","Matchweek 13","Home","Oihan Sancet","Celta Vigo","Y",0.58,0.96,"Right Foot",6,"37","0-1","Vicente Guaita","","Iñigo Ruiz de Galarreta","Pass (Live)","Óscar de Marcos","Pass (Live)","Volley"
23,"2023-11-10","Matchweek 13","Home","Gorka Guruzeta","Celta Vigo","Y",0.34,0.85,"Right Foot",5,"45+5","1-2","Vicente Guaita","Nico Williams","Nico Williams","Pass (Live)","Iñigo Lekue","Pass (Live)",""
24,"2023-11-10","Matchweek 13","Home","Gorka Guruzeta","Celta Vigo","Y",0.81,0.5,"Right Foot",4,"52","2-2","Vicente Guaita","","Nico Williams","Shot","","",""
25,"2023-11-10","Matchweek 13","Home","Álex Berenguer","Celta Vigo","N",0.79,0.98,"Right Foot",13,"90+8","3-3","Vicente Guaita","","","Fouled","Álex Berenguer","Tackle",""
26,"2023-11-27","Matchweek 14","Away","Iñaki Williams","Girona","Y",0.14,0.29,"Left Foot",17,"67","0-1","Paulo Gazzaniga","Oihan Sancet","Oihan Sancet","Pass (Live)","Mikel Vesga","Pass (Live)",""
27,"2023-12-02","Matchweek 15","Home","Gorka Guruzeta","Rayo Vallecano","Y",0.55,0.69,"Right Foot",12,"23","0-0","Stole Dimitrievski","Oihan Sancet","Oihan Sancet","Pass (Live)","","",""
28,"2023-12-02","Matchweek 15","Home","Alfonso Espino (OG)","Rayo Vallecano","Y",NA,NA,"",NA,"47","","","","","","","","Own Goal"
29,"2023-12-02","Matchweek 15","Home","Iñaki Williams","Rayo Vallecano","Y",0.18,0.76,"Right Foot",6,"64","2-0","Stole Dimitrievski","Gorka Guruzeta","Gorka Guruzeta","Pass (Live)","Oihan Sancet","Pass (Live)",""
30,"2023-12-02","Matchweek 15","Home","Nico Williams","Rayo Vallecano","Y",0.02,0.46,"Right Foot",17,"68","3-0","Stole Dimitrievski","Iñigo Lekue","Iñigo Lekue","Pass (Live)","Iñigo Ruiz de Galarreta","Pass (Live)","Deflected"
31,"2023-12-11","Matchweek 16","Away","Iñaki Williams","Granada","Y",0.1,0.04,"Head",10,"6","0-0","André Ferreira","","Iñigo Ruiz de Galarreta","Pass (Live)","Nico Williams","Pass (Live)",""
32,"2023-12-16","Matchweek 17","Home","Gorka Guruzeta","Atlético Madrid","Y",0.33,0.89,"Right Foot",4,"51","0-0","Jan Oblak","Ander Herrera","Ander Herrera","Pass (Live)","Iñaki Williams","Pass (Live)",""
33,"2023-12-16","Matchweek 17","Home","Nico Williams","Atlético Madrid","Y",0.04,0.67,"Left Foot",16,"64","1-0","Jan Oblak","Iñigo Lekue","Iñigo Lekue","Pass (Live)","Gorka Guruzeta","Pass (Live)",""
34,"2023-12-20","Matchweek 18","Home","Unai Gómez","Las Palmas","N",0.11,0.57,"Head",17,"90+4","0-0","Álvaro Vallés","","Unai Gómez","Pass (Live)","Álex Berenguer","Pass (Live)",""
35,"2024-01-04","Matchweek 19","Away","Mikel Vesga","Sevilla","Y",0.13,0.78,"Head",9,"30","0-0","Marko Dmitrović","Iñigo Ruiz de Galarreta","Iñigo Ruiz de Galarreta","Pass (Live)","Iñigo Lekue","Pass (Live)",""
36,"2024-01-04","Matchweek 19","Away","Aitor Paredes","Sevilla","Y",0.34,0.63,"Right Foot",9,"76","1-0","Marko Dmitrović","Ander Herrera","Ander Herrera","Pass (Live)","Nico Williams","Pass (Live)","Volley"
37,"2024-01-13","Matchweek 20","Home","Álex Berenguer","Real Sociedad","Y",0.95,0.98,"Left Foot",2,"30","0-0","Unai Marrero","","Nico Williams","Pass (Live)","Yuri Berchiche","Pass (Live)",""
38,"2024-01-13","Matchweek 20","Home","Álex Berenguer","Real Sociedad","Y",0.22,0.74,"Left Foot",13,"42","1-0","Unai Marrero","","Gorka Guruzeta","Shot","","",""
39,"2024-02-02","Matchweek 23","Home","Yuri Berchiche","Mallorca","Y",0.05,0.36,"Left Foot",15,"3","0-0","Predrag Rajković","Nico Williams","Nico Williams","Pass (Dead)","Iñaki Williams","Fouled","Volley"
40,"2024-02-02","Matchweek 23","Home","Yuri Berchiche","Mallorca","Y",0.07,0.37,"Right Foot",14,"16","1-0","Predrag Rajković","Gorka Guruzeta","Gorka Guruzeta","Pass (Live)","Nico Williams","Pass (Dead)","Volley"
41,"2024-02-02","Matchweek 23","Home","Gorka Guruzeta","Mallorca","Y",0.41,0.81,"Left Foot",7,"62","2-0","Predrag Rajković","Oihan Sancet","Oihan Sancet","Shot","","",""
42,"2024-02-02","Matchweek 23","Home","Iker Muniain","Mallorca","N",0.26,0.66,"Right Foot",15,"89","3-0","Predrag Rajković","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Adu Ares","Pass (Live)",""
43,"2024-02-19","Matchweek 25","Home","Álex Berenguer","Girona","Y",0.1,0.38,"Left Foot",18,"2","0-0","Paulo Gazzaniga","","","","","",""
44,"2024-02-19","Matchweek 25","Home","Álex Berenguer","Girona","Y",0.22,0.61,"Right Foot",14,"56","1-1","Paulo Gazzaniga","Gorka Guruzeta","Gorka Guruzeta","Pass (Live)","","",""
45,"2024-02-19","Matchweek 25","Home","Iñaki Williams","Girona","Y*",0.12,0.04,"Right Foot",16,"60","2-1","Paulo Gazzaniga","","Yuri Berchiche","Pass (Live)","Álex Berenguer","Pass (Live)",""
46,"2024-02-25","Matchweek 26","Away","Gorka Guruzeta","Betis","Y",0.08,0.16,"Head",5,"45+7","0-2","Rui Silva","Álex Berenguer","Álex Berenguer","Pass (Dead)","","",""
47,"2024-03-10","Matchweek 28","Away","Gorka Guruzeta","Las Palmas","Y",0.41,0.15,"Head",4,"31","0-0","Álvaro Vallés","Nico Williams","Nico Williams","Pass (Live)","Iñigo Ruiz de Galarreta","Pass (Live)",""
48,"2024-03-10","Matchweek 28","Away","Saúl Coco (OG)","Las Palmas","Y",NA,NA,"",NA,"65","","","","","","","","Own Goal"
49,"2024-03-16","Matchweek 29","Home","Gorka Guruzeta","Alavés","Y",0.19,0.95,"Right Foot",8,"32","0-0","Antonio Sivera","Nico Williams","Nico Williams","Pass (Live)","Beñat Prados","Pass (Live)",""
50,"2024-03-16","Matchweek 29","Home","Gorka Guruzeta","Alavés","Y",0.1,0.29,"Right Foot",20,"37","1-0","Antonio Sivera","","Yeray Álvarez","Pass (Live)","Unai Simón","Pass (Live)",""
51,"2024-04-14","Matchweek 31","Home","Oihan Sancet","Villarreal","Y",0.13,0.73,"Right Foot",15,"66","0-0","Filip Jørgensen","Gorka Guruzeta","Gorka Guruzeta","Pass (Live)","Ander Herrera","Pass (Live)","Volley"
52,"2024-04-19","Matchweek 32","Home","Gorka Guruzeta","Granada","Y",0.13,0.67,"Right Foot",11,"24","0-1","Augusto Batalla","","Gorka Guruzeta","Pass (Live)","Yuri Berchiche","Pass (Live)","Volley"
53,"2024-04-27","Matchweek 33","Away","Nico Williams","Atlético Madrid","Y",0.56,0.73,"Left Foot",12,"45","0-1","Jan Oblak","Gorka Guruzeta","Gorka Guruzeta","Pass (Live)","Iñaki Williams","Pass (Live)",""
54,"2024-05-03","Matchweek 34","Away","Iñaki Williams","Getafe","Y",0.01,0.43,"Right Foot",24,"27","0-0","David Soria","Nico Williams","Nico Williams","Pass (Live)","Iñigo Lekue","Pass (Live)",""
55,"2024-05-03","Matchweek 34","Away","Iñaki Williams","Getafe","Y",0.43,0.79,"Right Foot",10,"51","1-0","David Soria","Nico Williams","Nico Williams","Pass (Live)","Nico Williams","Take-On",""
56,"2024-05-11","Matchweek 35","Home","Iñaki Williams","Osasuna","Y",0.02,0.8,"Right Foot",14,"58","0-2","Sergio Herrera","Ander Herrera","","","","",""
57,"2024-05-11","Matchweek 35","Home","Asier Villalibre","Osasuna","N",0.24,0.89,"Left Foot",5,"90+6","1-2","Sergio Herrera","","","","","",""
58,"2024-05-15","Matchweek 36","Away","Álex Berenguer","Celta Vigo","Y",0.01,0.54,"Right Foot",33,"23","0-0","Iván Villar","","Álex Berenguer","Pass (Dead)","Iñigo Lekue","Pass (Live)",""
59,"2024-05-19","Matchweek 37","Home","Raúl García","Sevilla","Y",0.2,0.66,"Head",10,"17","0-0","Ørjan Nyland","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Iñaki Williams","Pass (Live)",""
60,"2024-05-19","Matchweek 37","Home","Iker Muniain","Sevilla","Y*",0.28,0.41,"Right Foot",10,"19","1-0","Ørjan Nyland","Nico Williams","Nico Williams","Pass (Live)","Iñigo Ruiz de Galarreta","Pass (Live)",""
61,"2024-05-25","Matchweek 38","Away","Nico Williams","Rayo Vallecano","Y",0.66,0.93,"Right Foot",5,"67","0-0","Dani Cárdenas","Álex Berenguer","Álex Berenguer","Pass (Live)","Álex Berenguer","Take-On",""
