"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2023-08-19","Matchweek 2","Away","Iñaki Williams","Osasuna","Y",0.44,0.74,"Right Foot",5,"11","0-0","Aitor Fernández","Nico Williams","Nico Williams","Pass (Live)","Aitor Paredes","Pass (Live)","Volley"
2,"2023-08-19","Matchweek 2","Away","Gorka Guruzeta","Osasuna","Y",0.3,0.83,"Right Foot",5,"20","1-0","Aitor Fernández","Nico Williams","Nico Williams","Pass (Live)","Nico Williams","Take-On",""
3,"2023-08-27","Matchweek 3","Home","Mikel Vesga","Betis","Y",0.79,0.99,"Left Foot",13,"30","0-2","Rui Silva","","Nico Williams","Fouled","Iñaki Williams","Pass (Live)",""
4,"2023-08-27","Matchweek 3","Home","Mikel Vesga","Betis","Y",0.79,0.96,"Left Foot",13,"45","1-2","Rui Silva","","Nico Williams","Fouled","Nico Williams","Take-On",""
5,"2023-08-27","Matchweek 3","Home","Gorka Guruzeta","Betis","Y",0.48,0.65,"Right Foot",8,"45+7","2-2","Rui Silva","Iñaki Williams","Iñaki Williams","Pass (Live)","","",""
6,"2023-08-27","Matchweek 3","Home","Unai Gómez","Betis","N",0.51,0.39,"Right Foot",12,"84","3-2","Rui Silva","","Unai Gómez","Pass (Live)","Yuri Berchiche","Pass (Live)",""
7,"2023-09-16","Matchweek 5","Home","Gorka Guruzeta","Cádiz","Y",0.45,0.36,"Head",5,"66","0-0","Jeremías Ledesma","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Iñigo Ruiz de Galarreta","Pass (Live)",""
8,"2023-09-16","Matchweek 5","Home","Asier Villalibre","Cádiz","N",0.25,0.76,"Head",5,"68","1-0","Jeremías Ledesma","","Iñigo Ruiz de Galarreta","Pass (Live)","Yeray Álvarez","Pass (Live)",""
9,"2023-09-16","Matchweek 5","Home","Iñaki Williams","Cádiz","Y",0.46,0.83,"Right Foot",6,"90","2-0","Jeremías Ledesma","Asier Villalibre","Asier Villalibre","Pass (Live)","Unai Simón","Pass (Dead)",""
10,"2023-09-22","Matchweek 6","Away","Iñaki Williams","Alavés","Y",0.49,0.8,"Right Foot",14,"18","0-0","Antonio Sivera","Mikel Vesga","Mikel Vesga","Pass (Live)","Iñigo Ruiz de Galarreta","Pass (Live)",""
