"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Informe"
"2021-10-31","14:00","Matchweek 12","Sun","Home","D","1","1","Mallorca","1","12","1","8.3","0.00","0.00","18.1","0","1","1","1.7","1.0","0.08","-0.7","-1.0","Match Report"
"2021-11-05","21:00","Matchweek 13","Fri","Away","W","1","0","Athletic Club","1","8","4","50.0","0.13","0.25","19.3","0","0","0","0.5","0.5","0.06","+0.5","+0.5","Match Report"
"2021-11-21","14:00","Matchweek 14","Sun","Away","L","0","4","Getafe","0","10","2","20.0","0.00","0.00","19.0","1","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2021-11-28","18:30","Matchweek 15","Sun","Home","L","1","4","Atlético Madrid","1","9","1","11.1","0.11","1.00","15.6","0","0","0","1.0","1.0","0.11","0.0","0.0","Match Report"
"2021-12-05","16:15","Matchweek 16","Sun","Away","L","1","3","Elche","1","14","5","35.7","0.07","0.20","20.1","1","0","1","1.7","0.8","0.06","-0.7","+0.2","Match Report"
"2021-12-13","21:00","Matchweek 17","Mon","Home","D","1","1","Granada","1","13","3","23.1","0.08","0.33","20.1","0","0","0","0.7","0.7","0.05","+0.3","+0.3","Match Report"
"2021-12-19","21:00","Matchweek 18","Sun","Away","D","0","0","Real Madrid","0","4","0","0.0","0.00","","18.4","0","0","0","0.2","0.2","0.05","-0.2","-0.2","Match Report"
"2022-01-03","21:15","Matchweek 19","Mon","Home","L","0","1","Sevilla","0","8","2","25.0","0.00","0.00","27.7","0","0","0","0.2","0.2","0.03","-0.2","-0.2","Match Report"
"2022-01-09","18:30","Matchweek 20","Sun","Away","L","0","2","Osasuna","0","6","1","16.7","0.00","0.00","21.9","0","0","0","0.2","0.2","0.04","-0.2","-0.2","Match Report"
"2022-01-18","21:30","Matchweek 21","Tue","Home","D","2","2","Espanyol","2","10","4","40.0","0.20","0.50","13.2","0","0","0","0.9","0.9","0.09","+1.1","+1.1","Match Report"
"2022-01-22","14:00","Matchweek 22","Sat","Away","W","2","0","Levante","2","8","2","25.0","0.25","1.00","25.9","1","0","0","0.7","0.7","0.09","+1.3","+1.3","Match Report"
"2022-02-05","16:15","Matchweek 23","Sat","Away","L","1","2","Mallorca","1","12","5","41.7","0.08","0.20","15.4","0","0","0","0.8","0.8","0.07","+0.2","+0.2","Match Report"
"2022-02-12","14:00","Matchweek 24","Sat","Home","D","0","0","Celta Vigo","0","8","2","25.0","0.00","0.00","19.5","1","0","0","0.7","0.7","0.09","-0.7","-0.7","Match Report"
"2022-02-19","18:30","Matchweek 25","Sat","Home","D","1","1","Getafe","1","9","2","22.2","0.11","0.50","23.5","2","0","0","0.5","0.5","0.06","+0.5","+0.5","Match Report"
"2022-02-28","21:00","Matchweek 26","Mon","Away","D","0","0","Granada","0","12","4","33.3","0.00","0.00","17.8","0","0","0","0.7","0.7","0.06","-0.7","-0.7","Match Report"
"2022-03-06","14:00","Matchweek 27","Sun","Home","W","2","0","Rayo Vallecano","2","13","7","53.8","0.15","0.29","14.7","0","0","0","1.1","1.1","0.09","+0.9","+0.9","Match Report"
"2022-03-11","21:00","Matchweek 28","Fri","Away","L","1","2","Atlético Madrid","1","14","2","14.3","0.07","0.50","17.9","0","0","0","0.8","0.8","0.06","+0.2","+0.2","Match Report"
"2022-03-20","16:15","Matchweek 29","Sun","Home","W","1","0","Villarreal","1","16","7","43.8","0.06","0.14","21.4","1","0","0","1.7","1.7","0.11","-0.7","-0.7","Match Report"
"2022-04-03","18:30","Matchweek 30","Sun","Away","D","0","0","Valencia","0","4","3","75.0","0.00","0.00","21.3","0","0","0","0.1","0.1","0.02","-0.1","-0.1","Match Report"
"2022-04-09","14:00","Matchweek 31","Sat","Home","L","1","2","Betis","1","10","3","30.0","0.10","0.33","15.4","1","0","0","1.3","1.3","0.13","-0.3","-0.3","Match Report"
"2022-04-18","21:00","Matchweek 32","Mon","Away","W","1","0","Barcelona","1","6","4","66.7","0.17","0.25","9.1","0","0","0","1.7","1.7","0.40","-0.7","-0.7","Match Report"
"2022-04-21","20:00","Matchweek 33","Thu","Home","L","2","3","Athletic Club","2","27","8","29.6","0.07","0.25","12.2","1","0","0","3.1","3.1","0.12","-1.1","-1.1","Match Report"
"2022-04-29","21:00","Matchweek 34","Fri","Away","D","1","1","Sevilla","1","10","3","30.0","0.10","0.33","18.4","1","0","0","0.9","0.9","0.09","+0.1","+0.1","Match Report"
"2022-05-07","18:30","Matchweek 35","Sat","Home","W","3","0","Elche","3","17","7","41.2","0.18","0.43","16.2","0","0","0","1.8","1.8","0.11","+1.2","+1.2","Match Report"
"2022-05-12","19:00","Matchweek 36","Thu","Away","L","0","3","Real Sociedad","0","14","1","7.1","0.00","0.00","16.3","0","0","0","0.7","0.7","0.05","-0.7","-0.7","Match Report"
"2022-05-15","19:30","Matchweek 37","Sun","Home","D","1","1","Real Madrid","1","20","6","30.0","0.05","0.17","18.0","1","0","1","2.7","1.9","0.10","-1.7","-0.9","Match Report"
"2022-05-22","20:00","Matchweek 38","Sun","Away","W","1","0","Alavés","1","13","6","46.2","0.08","0.17","17.9","0","0","0","1.8","1.8","0.14","-0.8","-0.8","Match Report"
