"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Informe"
"2021-08-14","19:30","Matchweek 1","Sat","Home","D","1","1","Levante","1","7","2","28.6","0.14","0.50","20.1","1","0","0","0.6","0.6","0.08","+0.4","+0.4","Match Report"
"2021-08-20","21:00","Matchweek 2","Fri","Away","D","1","1","Betis","1","7","2","28.6","0.00","0.00","19.1","1","1","1","1.6","0.8","0.11","-0.6","-0.8","Match Report"
"2021-08-29","19:30","Matchweek 3","Sun","Home","L","2","3","Osasuna","2","6","2","33.3","0.17","0.50","19.9","0","1","1","1.6","0.9","0.14","+0.4","+0.1","Match Report"
"2021-09-12","18:30","Matchweek 4","Sun","Home","L","0","2","Real Sociedad","0","6","1","16.7","0.00","0.00","15.9","0","0","0","0.3","0.3","0.06","-0.3","-0.3","Match Report"
"2021-09-17","21:00","Matchweek 5","Fri","Away","W","2","1","Celta Vigo","2","6","2","33.3","0.33","1.00","22.2","0","0","1","1.1","0.3","0.04","+0.9","+1.7","Match Report"
"2021-09-23","22:00","Matchweek 6","Thu","Home","D","0","0","Barcelona","0","13","3","23.1","0.00","0.00","17.4","0","0","0","1.3","1.3","0.11","-1.3","-1.3","Match Report"
"2021-09-26","18:30","Matchweek 7","Sun","Away","L","1","3","Rayo Vallecano","1","6","1","16.7","0.17","1.00","10.8","0","0","0","1.0","1.0","0.16","0.0","0.0","Match Report"
"2021-10-02","18:30","Matchweek 8","Sat","Home","D","0","0","Valencia","0","2","1","50.0","0.00","0.00","14.4","0","0","0","0.2","0.2","0.09","-0.2","-0.2","Match Report"
"2021-10-18","21:00","Matchweek 9","Mon","Away","L","0","2","Espanyol","0","13","2","15.4","0.00","0.00","19.4","0","0","0","0.4","0.4","0.03","-0.4","-0.4","Match Report"
"2021-10-23","16:15","Matchweek 10","Sat","Home","L","0","2","Alavés","0","23","3","13.0","0.00","0.00","18.7","1","0","0","1.5","1.5","0.07","-1.5","-1.5","Match Report"
"2021-10-26","21:30","Matchweek 11","Tue","Away","D","3","3","Villarreal","3","9","4","44.4","0.33","0.75","16.1","0","0","0","1.4","1.4","0.15","+1.6","+1.6","Match Report"
