"Nombre","País","Posicion","Edad","90s","Goles","Disparos","Disparos a puerta","% DisparosPuerta","Disparos cada 90min","DisparosPuerta cada 90min","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Matches"
"Luis Hernández","es ESP","DF","32","15.2","0","6","1","16.7","0.40","0.07","0.00","0.00","12.3","0","0","0","0.5","0.5","0.09","-0.5","-0.5","Matches"
"Rubén Alcaraz","es ESP","MF","30","12.3","2","23","6","26.1","1.87","0.49","0.09","0.33","23.1","5","0","0","1.3","1.3","0.06","+0.7","+0.7","Matches"
"Iván Alejo","es ESP","MF,FW","26","11.8","2","12","4","33.3","1.01","0.34","0.17","0.50","21.5","0","0","0","1.4","1.4","0.12","+0.6","+0.6","Matches"
"Lucas Pérez","es ESP","FW,MF","32","11.8","3","15","5","33.3","1.27","0.42","0.20","0.60","15.1","3","0","0","3.3","3.3","0.22","-0.3","-0.3","Matches"
"Oussama Idrissi","ma MAR","MF","25","10.0","1","21","8","38.1","2.10","0.80","0.05","0.13","20.1","0","0","0","2.0","2.0","0.09","-1.0","-1.0","Matches"
"Cala","es ESP","DF","31","10.5","0","5","0","0.0","0.48","0.00","0.00","","9.2","0","0","0","0.7","0.7","0.14","-0.7","-0.7","Matches"
"Fede San Emeterio","es ESP","MF","24","9.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Alberto Perea","es ESP","MF","30","8.6","0","17","3","17.6","1.97","0.35","0.00","0.00","21.6","1","0","0","0.9","0.9","0.05","-0.9","-0.9","Matches"
"Santiago Arzamendia","py PAR","MF","23","5.2","1","7","1","14.3","1.34","0.19","0.14","1.00","29.7","0","0","0","0.2","0.2","0.03","+0.8","+0.8","Matches"
"Chapela","es ESP","MF,FW","22","4.4","0","3","0","0.0","0.68","0.00","0.00","","22.6","0","0","0","0.1","0.1","0.03","-0.1","-0.1","Matches"
"José Mari","es ESP","MF","33","4.3","0","4","1","25.0","0.93","0.23","0.00","0.00","14.2","0","0","0","0.3","0.3","0.09","-0.3","-0.3","Matches"
"Milutin Osmajić","me MNE","FW,MF","22","2.9","0","4","0","0.0","1.40","0.00","0.00","","12.1","0","0","0","0.3","0.3","0.08","-0.3","-0.3","Matches"
"Álvaro Bastida","es ESP","MF","17","2.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Álvaro Jiménez","es ESP","MF,FW","26","2.6","0","3","1","33.3","1.15","0.38","0.00","0.00","19.4","0","0","0","0.1","0.1","0.02","-0.1","-0.1","Matches"
"Florin Andone","ro ROU","FW","28","2.0","0","3","1","33.3","1.53","0.51","0.00","0.00","12.6","0","0","0","0.2","0.2","0.08","-0.2","-0.2","Matches"
"Marcos Mauro López Gutiérrez","ar ARG","DF","30","1.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Martín","es ESP","MF","22","1.3","0","2","0","0.0","1.57","0.00","0.00","","30.0","1","0","0","0.1","0.1","0.03","-0.1","-0.1","Matches"
"Raúl Parra","es ESP","DF","21","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Pedro Benito","es ESP","FW","21","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Squad Total","","","28.5","38.0","35","405","118","29.1","10.66","3.11","0.08","0.27","17.9","14","3","6","39.5","34.8","0.09","-4.5","-2.8",""
"Opponent Total","","","27.6","38.0","51","461","157","34.1","12.13","4.13","0.09","0.25","18.5","20","11","13","48.3","38.2","0.08","+2.7","+1.8",""
