"Nombre","País","Posicion","Edad","90s","Goles","Disparos","Disparos a puerta","% DisparosPuerta","Disparos cada 90min","DisparosPuerta cada 90min","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Matches"
"Jeremías Ledesma","ar ARG","GK","28","38.0","0","1","1","100.0","0.03","0.03","0.00","0.00","14.3","0","0","0","0.0","0.0","0.02","0.0","0.0","Matches"
"Alfonso Espino","uy URU","DF","29","37.0","2","27","7","25.9","0.73","0.19","0.07","0.29","20.7","0","0","0","1.7","1.5","0.06","+0.3","+0.5","Matches"
"Álvaro Negredo","es ESP","FW","35","24.0","7","64","25","39.1","2.67","1.04","0.08","0.20","16.6","1","2","3","7.3","4.9","0.08","-0.3","+0.1","Matches"
"Fali","es ESP","DF,MF","27","20.0","0","14","0","0.0","0.70","0.00","0.00","","16.9","2","0","0","0.7","0.7","0.05","-0.7","-0.7","Matches"
"Álex Fernández","es ESP","MF","28","22.8","3","19","6","31.6","0.83","0.26","0.11","0.33","20.7","0","1","2","3.0","1.5","0.08","0.0","+0.5","Matches"
"Carlos Akapo","gq EQG","DF","28","20.5","0","10","1","10.0","0.49","0.05","0.00","0.00","19.8","0","0","0","0.5","0.5","0.05","-0.5","-0.5","Matches"
"Anthony Lozano","hn HON","FW,MF","28","18.6","7","49","20","40.8","2.64","1.08","0.14","0.35","14.5","0","0","0","5.1","5.0","0.10","+1.9","+2.0","Matches"
"Víctor Chust","es ESP","DF","21","20.3","0","9","2","22.2","0.44","0.10","0.00","0.00","10.3","0","0","0","0.7","0.7","0.08","-0.7","-0.7","Matches"
"Rubén Sobrino","es ESP","FW,MF","29","20.7","4","33","10","30.3","1.60","0.48","0.12","0.40","13.0","0","0","0","5.4","5.3","0.17","-1.4","-1.3","Matches"
"Isaac Carcelen","es ESP","DF,MF","28","17.2","0","11","4","36.4","0.64","0.23","0.00","0.00","26.8","1","0","0","0.4","0.4","0.04","-0.4","-0.4","Matches"
"Salvi","es ESP","MF,FW","30","15.5","2","19","7","36.8","1.23","0.45","0.11","0.29","16.1","0","0","1","2.6","1.8","0.09","-0.6","+0.2","Matches"
"Jens Jønsson","dk DEN","MF","28","14.5","0","6","0","0.0","0.41","0.00","0.00","","13.7","0","0","0","0.4","0.4","0.07","-0.4","-0.4","Matches"
"Varazdat Haroyan","am ARM","DF","28","16.0","1","3","2","66.7","0.19","0.13","0.33","0.50","7.8","0","0","0","0.7","0.7","0.24","+0.3","+0.3","Matches"
"Tomás Alarcón","cl CHI","MF","22","15.8","0","15","2","13.3","0.95","0.13","0.00","0.00","24.1","0","0","0","1.1","1.1","0.07","-1.1","-1.1","Matches"
