"For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","For Cádiz","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected",""
"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","Gls","Sh","SoT","SoT%","G/Sh","G/SoT","Dist","FK","PK","PKatt","xG","npxG","npxG/Sh","G-xG","np:G-xG","Match Report"
"2024-03-02","16:15","Matchweek 27","Sat","Away","D","1","1","Rayo Vallecano","1","16","5","31.3","0.06","0.20","16.7","0","0","0","1.0","1.0","0.06","0.0","0.0","Match Report"
"2024-03-09","16:15","Matchweek 28","Sat","Home","W","2","0","Atlético Madrid","2","7","3","42.9","0.29","0.67","16.0","0","0","0","1.1","1.1","0.16","+0.9","+0.9","Match Report"
"2024-03-15","21:00","Matchweek 29","Fri","Away","L","0","2","Real Sociedad","0","13","2","15.4","0.00","0.00","20.0","1","0","0","0.8","0.8","0.06","-0.8","-0.8","Match Report"
"2024-03-29","21:00","Matchweek 30","Fri","Home","W","1","0","Granada","1","13","5","38.5","0.08","0.20","16.0","0","0","0","1.6","1.6","0.12","-0.6","-0.6","Match Report"
"2024-04-13","21:00","Matchweek 31","Sat","Home","L","0","1","Barcelona","0","14","3","21.4","0.00","0.00","17.5","0","0","0","1.0","1.0","0.07","-1.0","-1.0","Match Report"
"2024-04-20","21:00","Matchweek 32","Sat","Away","L","1","4","Girona","1","12","5","41.7","0.08","0.20","15.9","0","0","0","1.6","1.6","0.16","-0.6","-0.6","Match Report"
"2024-04-28","14:00","Matchweek 33","Sun","Home","D","1","1","Mallorca","0","10","2","20.0","0.00","0.00","22.2","0","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2024-05-04","16:15","Matchweek 34","Sat","Away","L","0","3","Real Madrid","0","7","2","28.6","0.00","0.00","14.5","0","0","0","0.9","0.9","0.14","-0.9","-0.9","Match Report"
"2024-05-12","14:00","Matchweek 35","Sun","Home","W","1","0","Getafe","1","12","5","41.7","0.00","0.00","20.2","1","1","1","1.5","0.7","0.06","-0.5","-0.7","Match Report"
"2024-05-15","19:30","Matchweek 36","Wed","Away","W","1","0","Sevilla","1","19","7","36.8","0.05","0.14","19.9","0","0","0","2.5","2.5","0.13","-1.5","-1.5","Match Report"
"2024-05-19","19:00","Matchweek 37","Sun","Home","D","0","0","Las Palmas","0","10","3","30.0","0.00","0.00","16.3","0","0","0","0.9","0.9","0.09","-0.9","-0.9","Match Report"
"2024-05-25","18:30","Matchweek 38","Sat","Away","L","1","6","Almería","1","12","4","33.3","0.08","0.25","23.0","0","0","0","0.5","0.5","0.04","+0.5","+0.5","Match Report"
"","","","","","6-15-17","26","55","","25","395","120","30.4","0.06","0.18","18.4","21","3","3","36.0","33.6","0.09","-11.0","-11.6",""
