"Nombre","País","Posición","Edad","90s","Goles","Disparos","Disparos a puerta","% DisparosPuerta","Disparos cada 90min","DisparosPuerta cada 90min","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Matches"
"Unai Simón","es ESP","GK","23","37.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Iñigo Martínez","es ESP","DF","29","28.0","1","18","7","38.9","0.64","0.25","0.06","0.14","19.4","1","0","0","1.1","1.1","0.06","-0.1","-0.1","Matches"
"Iñaki Williams","gh GHA","FW","26","26.5","6","52","16","30.8","1.96","0.60","0.10","0.31","15.2","0","1","1","6.2","5.4","0.10","-0.2","-0.4","Matches"
"Álex Berenguer","es ESP","MF,FW","25","25.3","8","48","15","31.3","1.90","0.59","0.17","0.53","17.4","4","0","0","6.2","6.2","0.13","+1.8","+1.8","Matches"
"Ander Capa","es ESP","DF","28","23.7","2","12","6","50.0","0.51","0.25","0.17","0.33","14.2","0","0","0","1.1","1.1","0.10","+0.9","+0.9","Matches"
"Unai Núñez","es ESP","DF","23","23.4","1","12","5","41.7","0.51","0.21","0.08","0.20","11.1","0","0","0","1.8","1.8","0.15","-0.8","-0.8","Matches"
"Iker Muniain","es ESP","MF,FW","27","21.6","5","23","9","39.1","1.07","0.42","0.22","0.56","13.9","1","0","0","4.5","4.5","0.21","+0.5","+0.5","Matches"
"Yeray Álvarez","es ESP","DF","25","21.6","1","10","1","10.0","0.46","0.05","0.10","1.00","14.4","0","0","0","0.6","0.6","0.06","+0.4","+0.4","Matches"
"Dani García","es ESP","MF","30","21.3","0","6","1","16.7","0.28","0.05","0.00","0.00","20.5","0","0","0","0.3","0.3","0.06","-0.3","-0.3","Matches"
"Raúl García","es ESP","FW,MF","34","19.4","5","44","11","25.0","2.27","0.57","0.07","0.27","17.2","0","2","3","6.1","3.7","0.08","-1.1","-0.7","Matches"
"Yuri Berchiche","es ESP","DF","30","18.7","1","16","6","37.5","0.86","0.32","0.06","0.17","19.5","0","0","0","0.9","0.9","0.06","+0.1","+0.1","Matches"
"Mikel Vesga","es ESP","MF","27","19.1","0","22","5","22.7","1.15","0.26","0.00","0.00","17.7","0","0","0","1.6","1.6","0.07","-1.6","-1.6","Matches"
"Unai Vencedor Paris","es ESP","MF","19","18.9","0","9","0","0.0","0.48","0.00","0.00","","23.9","0","0","0","0.3","0.3","0.04","-0.3","-0.3","Matches"
"Mikel Balenziaga","es ESP","DF","32","18.8","0","3","1","33.3","0.16","0.05","0.00","0.00","30.3","1","0","0","0.1","0.1","0.03","-0.1","-0.1","Matches"
"Óscar de Marcos","es ESP","DF,MF","31","16.9","1","6","5","83.3","0.36","0.30","0.17","0.20","12.4","0","0","0","1.8","1.8","0.31","-0.8","-0.8","Matches"
"Asier Villalibre","es ESP","FW","22","17.7","4","38","14","36.8","2.15","0.79","0.11","0.29","14.3","0","0","0","4.3","4.3","0.11","-0.3","-0.3","Matches"
"Jon Morcillo","es ESP","MF,FW","21","15.1","2","24","8","33.3","1.58","0.53","0.08","0.25","23.1","3","0","0","1.2","1.2","0.05","+0.8","+0.8","Matches"
"Unai López","es ESP","MF","24","15.8","3","25","10","40.0","1.58","0.63","0.12","0.30","25.1","5","0","0","1.1","1.1","0.05","+1.9","+1.9","Matches"
"Oihan Sancet","es ESP","FW,MF","20","11.5","2","18","6","33.3","1.57","0.52","0.11","0.33","12.6","0","0","0","2.6","2.6","0.14","-0.6","-0.6","Matches"
"Iñigo Lekue","es ESP","DF","27","7.2","0","2","1","50.0","0.28","0.14","0.00","0.00","25.9","0","0","0","0.1","0.1","0.03","-0.1","-0.1","Matches"
"Ibai Gómez","es ESP","MF","30","4.7","0","5","0","0.0","1.06","0.00","0.00","","21.5","0","0","0","0.2","0.2","0.04","-0.2","-0.2","Matches"
"Oier Zarraga","es ESP","MF","21","1.1","0","1","0","0.0","0.90","0.00","0.00","","16.2","0","0","0","0.1","0.1","0.08","-0.1","-0.1","Matches"
"Iñigo Córdoba","es ESP","FW,MF","23","1.1","0","2","0","0.0","1.89","0.00","0.00","","15.3","0","0","0","0.1","0.1","0.07","-0.1","-0.1","Matches"
"Jokin Ezkieta","es ESP","GK","23","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Nico Williams","es ESP","MF","18","0.6","0","1","0","0.0","1.58","0.00","0.00","","14.0","0","0","0","0.0","0.0","0.05","0.0","0.0","Matches"
"Iñigo Vicente","es ESP","FW,MF","22","0.6","0","1","0","0.0","1.73","0.00","0.00","","23.8","0","0","0","0.0","0.0","0.03","0.0","0.0","Matches"
"Kenan Kodro","ba BIH","FW,MF","26","0.5","1","1","1","100.0","2.05","2.05","0.00","0.00","39.4","0","1","1","0.8","0.0","0.03","+0.2","0.0","Matches"
"Squad Total","","","26.6","38.0","43","399","128","32.1","10.50","3.37","0.10","0.30","17.4","15","4","5","42.8","38.9","0.10","+0.2","+0.1",""
"Opponent Total","","","27.6","38.0","41","370","105","28.4","9.74","2.76","0.10","0.34","18.8","15","5","6","37.5","32.9","0.09","+3.5","+3.1",""
