"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2020-09-12","18:30","Matchweek 1","Sat","Away","L","0","2","Granada","0","9","2","22.2","0.00","0.00","16.9","0","0","0","0.5","0.5","0.06","-0.5","-0.5","Match Report"
"2020-09-27","14:00","Matchweek 3","Sun","Away","W","2","1","Eibar","2","9","5","55.6","0.22","0.40","18.7","0","0","0","0.6","0.6","0.07","+1.4","+1.4","Match Report"
"2020-10-01","19:00","Matchweek 4","Thu","Home","L","0","1","Cádiz","0","13","4","30.8","0.00","0.00","21.5","0","0","0","0.6","0.6","0.04","-0.6","-0.6","Match Report"
"2020-10-04","14:00","Matchweek 5","Sun","Away","L","0","1","Alavés","0","8","0","0.0","0.00","","18.4","0","0","0","0.6","0.6","0.07","-0.6","-0.6","Match Report"
"2020-10-18","14:00","Matchweek 6","Sun","Home","W","2","0","Levante","2","14","4","28.6","0.14","0.50","13.2","0","0","0","2.3","2.3","0.17","-0.3","-0.3","Match Report"
"2020-10-24","18:30","Matchweek 7","Sat","Away","L","0","1","Osasuna","0","13","5","38.5","0.00","0.00","18.7","1","0","0","0.7","0.7","0.05","-0.7","-0.7","Match Report"
"2020-10-31","16:15","Matchweek 8","Sat","Home","W","2","1","Sevilla","2","16","5","31.3","0.13","0.40","16.7","1","0","0","1.2","1.2","0.08","+0.8","+0.8","Match Report"
"2020-11-08","18:30","Matchweek 9","Sun","Away","L","1","2","Valladolid","1","16","1","6.3","0.00","0.00","16.2","1","1","1","1.7","0.9","0.06","-0.7","-0.9","Match Report"
"2020-11-23","21:00","Matchweek 10","Mon","Home","W","4","0","Betis","3","14","9","64.3","0.21","0.33","12.1","0","0","0","2.5","2.5","0.21","+0.5","+0.5","Match Report"
"2020-11-29","16:15","Matchweek 11","Sun","Away","D","1","1","Getafe","1","5","2","40.0","0.20","0.50","23.2","1","0","0","0.3","0.3","0.05","+0.7","+0.7","Match Report"
"2020-12-04","21:00","Matchweek 12","Fri","Home","L","0","2","Celta Vigo","0","10","0","0.0","0.00","","20.2","1","0","0","0.5","0.5","0.05","-0.5","-0.5","Match Report"
"2020-12-12","14:00","Matchweek 13","Sat","Away","D","2","2","Valencia","2","12","4","33.3","0.08","0.25","19.9","0","1","1","1.9","1.1","0.10","+0.1","-0.1","Match Report"
"2020-12-15","22:00","Matchweek 19","Tue","Away","L","1","3","Real Madrid","1","10","4","40.0","0.10","0.25","17.7","0","0","0","0.8","0.8","0.09","+0.2","+0.2","Match Report"
"2020-12-18","21:00","Matchweek 14","Fri","Home","W","2","0","Huesca","2","9","2","22.2","0.11","0.50","20.0","0","1","1","1.4","0.7","0.07","+0.6","+0.3","Match Report"
"2020-12-22","22:00","Matchweek 15","Tue","Away","D","1","1","Villarreal","1","9","3","33.3","0.11","0.33","17.7","0","0","0","0.8","0.8","0.09","+0.2","+0.2","Match Report"
"2020-12-31","14:00","Matchweek 16","Thu","Home","L","0","1","Real Sociedad","0","4","0","0.0","0.00","","19.3","1","0","0","0.2","0.2","0.05","-0.2","-0.2","Match Report"
"2021-01-03","14:00","Matchweek 17","Sun","Home","W","1","0","Elche","1","13","2","15.4","0.08","0.50","18.9","1","0","0","1.4","1.4","0.11","-0.4","-0.4","Match Report"
"2021-01-06","21:00","Matchweek 2","Wed","Home","L","2","3","Barcelona","2","8","3","37.5","0.25","0.67","14.6","0","0","0","0.6","0.6","0.08","+1.4","+1.4","Match Report"
"2021-01-25","21:00","Matchweek 20","Mon","Home","W","5","1","Getafe","5","11","8","72.7","0.45","0.63","13.5","1","0","0","2.0","2.0","0.19","+3.0","+3.0","Match Report"
"2021-01-31","21:00","Matchweek 21","Sun","Away","L","1","2","Barcelona","0","7","2","28.6","0.00","0.00","22.3","0","0","0","0.3","0.3","0.05","-0.3","-0.3","Match Report"
"2021-02-07","16:15","Matchweek 22","Sun","Home","D","1","1","Valencia","0","11","2","18.2","0.00","0.00","13.7","0","0","0","1.2","1.2","0.11","-1.2","-1.2","Match Report"
"2021-02-15","21:00","Matchweek 23","Mon","Away","W","4","0","Cádiz","4","13","7","53.8","0.31","0.57","12.9","1","0","0","2.2","2.2","0.17","+1.8","+1.8","Match Report"
"2021-02-21","21:00","Matchweek 24","Sun","Home","D","1","1","Villarreal","1","18","8","44.4","0.06","0.13","17.9","1","0","0","2.6","2.6","0.14","-1.6","-1.6","Match Report"
"2021-02-26","21:00","Matchweek 25","Fri","Away","D","1","1","Levante","1","10","4","40.0","0.00","0.00","16.5","0","1","1","1.9","1.1","0.11","-0.9","-1.1","Match Report"
"2021-03-07","21:00","Matchweek 26","Sun","Home","W","2","1","Granada","2","6","4","66.7","0.33","0.50","18.0","0","0","1","1.3","0.5","0.09","+0.7","+1.5","Match Report"
"2021-03-10","19:00","Matchweek 18","Wed","Away","L","1","2","Atlético Madrid","1","4","2","50.0","0.25","0.50","13.3","0","0","0","0.6","0.6","0.16","+0.4","+0.4","Match Report"
"2021-03-14","14:00","Matchweek 27","Sun","Away","D","0","0","Celta Vigo","0","6","1","16.7","0.00","0.00","19.6","0","0","0","0.7","0.7","0.11","-0.7","-0.7","Match Report"
"2021-03-20","14:00","Matchweek 28","Sat","Home","D","1","1","Eibar","1","18","4","22.2","0.06","0.25","16.5","2","0","0","1.6","1.6","0.09","-0.6","-0.6","Match Report"
"2021-04-07","21:00","Matchweek 29","Wed","Away","D","1","1","Real Sociedad","1","11","2","18.2","0.09","0.50","18.3","1","0","0","0.7","0.7","0.07","+0.3","+0.3","Match Report"
"2021-04-10","16:15","Matchweek 30","Sat","Home","D","0","0","Alavés","0","11","4","36.4","0.00","0.00","16.6","0","0","0","1.8","1.8","0.16","-1.8","-1.8","Match Report"
