"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2020-09-12","18:30","Matchweek 1","Sat","Home","W","2","0","Granada","2","4","2","50.0","0.50","1.00","17.9","0","0","0","0.4","0.4","0.10","+1.6","+1.6","Match Report"
"2020-09-27","14:00","Matchweek 3","Sun","Home","L","1","2","Eibar","1","7","1","14.3","0.14","1.00","18.5","0","0","0","0.6","0.6","0.09","+0.4","+0.4","Match Report"
"2020-10-01","19:00","Matchweek 4","Thu","Away","W","1","0","Cádiz","0","3","1","33.3","0.00","0.00","15.5","0","0","0","0.2","0.2","0.08","-0.2","-0.2","Match Report"
"2020-10-04","14:00","Matchweek 5","Sun","Home","W","1","0","Alavés","1","8","3","37.5","0.13","0.33","17.1","0","0","0","0.6","0.6","0.08","+0.4","+0.4","Match Report"
"2020-10-18","14:00","Matchweek 6","Sun","Away","L","0","2","Levante","0","6","1","16.7","0.00","0.00","20.6","0","0","0","0.3","0.3","0.05","-0.3","-0.3","Match Report"
"2020-10-24","18:30","Matchweek 7","Sat","Home","W","1","0","Osasuna","1","6","1","16.7","0.00","0.00","27.1","1","1","1","1.2","0.4","0.07","-0.2","-0.4","Match Report"
"2020-10-31","16:15","Matchweek 8","Sat","Away","L","1","2","Sevilla","1","7","2","28.6","0.14","0.50","11.6","0","0","0","1.1","1.1","0.16","-0.1","-0.1","Match Report"
"2020-11-08","18:30","Matchweek 9","Sun","Home","W","2","1","Valladolid","2","6","3","50.0","0.17","0.33","17.6","1","1","1","2.1","1.3","0.23","-0.1","-0.3","Match Report"
"2020-11-23","21:00","Matchweek 10","Mon","Away","L","0","4","Betis","0","7","1","14.3","0.00","0.00","17.5","0","0","0","0.4","0.4","0.06","-0.4","-0.4","Match Report"
"2020-11-29","16:15","Matchweek 11","Sun","Home","D","1","1","Getafe","1","11","3","27.3","0.09","0.33","21.7","1","0","0","0.5","0.5","0.05","+0.5","+0.5","Match Report"
"2020-12-04","21:00","Matchweek 12","Fri","Away","W","2","0","Celta Vigo","2","6","4","66.7","0.33","0.50","13.1","0","0","0","1.2","1.2","0.20","+0.8","+0.8","Match Report"
"2020-12-12","14:00","Matchweek 13","Sat","Home","D","2","2","Valencia","2","10","1","10.0","0.10","1.00","19.3","1","1","1","1.5","0.8","0.08","+0.5","+0.2","Match Report"
"2020-12-15","22:00","Matchweek 19","Tue","Home","W","3","1","Real Madrid","3","18","5","27.8","0.17","0.60","17.0","0","0","0","2.2","2.2","0.13","+0.8","+0.8","Match Report"
"2020-12-18","21:00","Matchweek 14","Fri","Away","L","0","2","Huesca","0","6","1","16.7","0.00","0.00","24.8","1","0","0","0.2","0.2","0.03","-0.2","-0.2","Match Report"
"2020-12-22","22:00","Matchweek 15","Tue","Home","D","1","1","Villarreal","1","17","6","35.3","0.06","0.17","15.1","0","0","0","1.4","1.4","0.08","-0.4","-0.4","Match Report"
"2020-12-31","14:00","Matchweek 16","Thu","Away","W","1","0","Real Sociedad","1","13","3","23.1","0.08","0.33","17.8","3","0","0","1.6","1.6","0.13","-0.6","-0.6","Match Report"
"2021-01-03","14:00","Matchweek 17","Sun","Away","L","0","1","Elche","0","5","1","20.0","0.00","0.00","19.5","0","0","0","0.2","0.2","0.04","-0.2","-0.2","Match Report"
"2021-01-06","21:00","Matchweek 2","Wed","Away","W","3","2","Barcelona","3","13","9","69.2","0.23","0.33","17.7","0","0","0","1.6","1.6","0.12","+1.4","+1.4","Match Report"
"2021-01-25","21:00","Matchweek 20","Mon","Away","L","1","5","Getafe","1","5","1","20.0","0.20","1.00","25.1","0","0","1","1.3","0.5","0.10","-0.3","+0.5","Match Report"
"2021-01-31","21:00","Matchweek 21","Sun","Home","W","2","1","Barcelona","2","12","6","50.0","0.17","0.33","15.1","1","0","0","1.9","1.9","0.17","+0.1","+0.1","Match Report"
"2021-02-07","16:15","Matchweek 22","Sun","Away","D","1","1","Valencia","1","15","2","13.3","0.07","0.50","16.9","1","0","0","0.9","0.9","0.06","+0.1","+0.1","Match Report"
"2021-02-15","21:00","Matchweek 23","Mon","Home","L","0","4","Cádiz","0","11","2","18.2","0.00","0.00","19.6","0","0","0","0.5","0.5","0.05","-0.5","-0.5","Match Report"
