"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2024-03-10","15:15","Matchweek 28","Sun","Away","W","2","0","Las Palmas","1","7","2","28.6","0.14","0.50","15.2","0","0","0","1.1","1.1","0.16","-0.1","-0.1","Match Report"
"2024-03-16","21:00","Matchweek 29","Sat","Home","W","2","0","Alavés","2","16","4","25.0","0.13","0.50","16.9","0","0","0","1.7","1.7","0.11","+0.3","+0.3","Match Report"
"2024-03-31","21:00","Matchweek 30","Sun","Away","L","0","2","Real Madrid","0","7","3","42.9","0.00","0.00","16.8","0","0","0","0.3","0.3","0.04","-0.3","-0.3","Match Report"
"2024-04-14","18:30","Matchweek 31","Sun","Home","D","1","1","Villarreal","1","13","6","46.2","0.08","0.17","20.9","2","0","0","0.7","0.7","0.05","+0.3","+0.3","Match Report"
"2024-04-19","21:00","Matchweek 32","Fri","Home","D","1","1","Granada","1","17","5","29.4","0.06","0.20","16.8","0","0","0","1.5","1.5","0.09","-0.5","-0.5","Match Report"
"2024-04-27","21:00","Matchweek 33","Sat","Away","L","1","3","Atlético Madrid","1","7","1","14.3","0.14","1.00","12.9","0","0","0","1.0","1.0","0.14","0.0","0.0","Match Report"
"2024-05-03","21:00","Matchweek 34","Fri","Away","W","2","0","Getafe","2","7","2","28.6","0.29","1.00","17.2","0","0","0","0.6","0.6","0.09","+1.4","+1.4","Match Report"
"2024-05-11","21:00","Matchweek 35","Sat","Home","D","2","2","Osasuna","2","15","6","40.0","0.13","0.33","14.9","0","0","0","1.4","1.4","0.09","+0.6","+0.6","Match Report"
"2024-05-15","22:00","Matchweek 36","Wed","Away","L","1","2","Celta Vigo","1","7","2","28.6","0.14","0.50","20.8","1","0","0","0.2","0.2","0.03","+0.8","+0.8","Match Report"
"2024-05-19","19:00","Matchweek 37","Sun","Home","W","2","0","Sevilla","2","15","6","40.0","0.13","0.33","15.7","0","0","0","1.6","1.6","0.10","+0.4","+0.4","Match Report"
"2024-05-25","18:30","Matchweek 38","Sat","Away","W","1","0","Rayo Vallecano","1","7","1","14.3","0.14","1.00","18.0","0","0","0","0.9","0.9","0.14","+0.1","+0.1","Match Report"
