"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2023-08-20","Matchweek 2","Away","Pedri","Barcelona","Y",0.52,0.71,"Left Foot",11,"82","0-0","Jeremías Ledesma","İlkay Gündoğan","İlkay Gündoğan","Pass (Live)","Pedri","Pass (Live)",""
2,"2023-08-20","Matchweek 2","Away","Ferrán Torres","Barcelona","N",0.43,0.83,"Left Foot",13,"90+4","1-0","Jeremías Ledesma","Robert Lewandowski","Robert Lewandowski","Pass (Live)","Marc-André ter Stegen","Pass (Live)",""
3,"2023-08-26","Matchweek 3","Home","Kaiky","Almería","N",0.04,0.43,"Right Foot",18,"90+5","0-1","Jeremías Ledesma","","Luís Maximiano","Pass (Dead)","Léo Baptistão","Fouled",""
4,"2023-09-01","Matchweek 4","Home","Alexander Sørloth","Villarreal","Y",0.15,0.22,"Right Foot",7,"10","0-0","Jeremías Ledesma","","Alexander Sørloth","Take-On","","",""
5,"2023-09-16","Matchweek 5","Away","Gorka Guruzeta","Athletic Club","Y",0.45,0.36,"Head",5,"66","0-0","Jeremías Ledesma","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Iñigo Ruiz de Galarreta","Pass (Live)",""
6,"2023-09-16","Matchweek 5","Away","Asier Villalibre","Athletic Club","N",0.25,0.76,"Head",5,"68","1-0","Jeremías Ledesma","","Iñigo Ruiz de Galarreta","Pass (Live)","Yeray Álvarez","Pass (Live)",""
7,"2023-09-16","Matchweek 5","Away","Iñaki Williams","Athletic Club","Y",0.46,0.83,"Right Foot",6,"90","2-0","Jeremías Ledesma","Asier Villalibre","Asier Villalibre","Pass (Live)","Unai Simón","Pass (Dead)",""
8,"2023-09-24","Matchweek 6","Away","Guido Rodríguez","Betis","Y",0.06,0.32,"Right Foot",12,"60","0-1","Jeremías Ledesma","","Isco","Pass (Live)","","","Volley"
9,"2023-10-01","Matchweek 8","Away","Ángel Correa","Atlético Madrid","Y",0.16,0.83,"Head",10,"32","0-2","Jeremías Ledesma","César Azpilicueta","César Azpilicueta","Pass (Live)","Saúl Ñíguez","Pass (Live)",""
10,"2023-10-01","Matchweek 8","Away","Nahuel Molina","Atlético Madrid","Y",0.18,0.1,"Right Foot",10,"46","1-2","Jeremías Ledesma","","Marcos Llorente","Shot","","","Deflected"
