"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
11,"2023-10-01","Matchweek 8","Away","Ángel Correa","Atlético Madrid","Y",0.53,0.84,"Right Foot",5,"66","2-2","Jeremías Ledesma","Saúl Ñíguez","Saúl Ñíguez","Pass (Live)","Samuel Lino","Pass (Live)",""
12,"2023-10-07","Matchweek 9","Home","Aleix García","Girona","Y*",0.06,0.31,"Right Foot",21,"59","0-0","Jeremías Ledesma","Yan Couto","Yan Couto","Pass (Live)","Eric García","Pass (Live)",""
13,"2023-10-23","Matchweek 10","Away","José Luis Gayà","Valencia","Y*",0.17,0.79,"Left Foot",11,"4","0-0","Jeremías Ledesma","Selim Amallah","Selim Amallah","Pass (Live)","José Luis Gayà","Pass (Live)",""
14,"2023-10-23","Matchweek 10","Away","Hugo Duro","Valencia","Y",0.95,0.89,"Head",3,"25","1-0","Jeremías Ledesma","","Thierry Correia","Shot","","",""
15,"2023-10-28","Matchweek 11","Home","Lucas Ocampos","Sevilla","Y",0.03,0.34,"Head",13,"37","0-2","Jeremías Ledesma","Juanlu Sánchez","Juanlu Sánchez","Pass (Live)","Suso","Pass (Live)",""
16,"2023-10-28","Matchweek 11","Home","Ivan Rakitić","Sevilla","Y*",0.03,0.72,"Right Foot",16,"60","1-2","Jeremías Ledesma","","Sergio Ramos","Shot","","","Volley"
17,"2023-11-06","Matchweek 12","Away","Borja Mayoral","Getafe","Y",0.55,0.74,"Head",4,"76","0-0","Jeremías Ledesma","Mason Greenwood","Mason Greenwood","Pass (Live)","Luis Milla","Pass (Dead)",""
18,"2023-11-26","Matchweek 14","Home","Rodrygo","Real Madrid","Y",0.16,0.5,"Right Foot",18,"14","0-0","Jeremías Ledesma","","Jude Bellingham","Pass (Live)","Joselu","Pass (Live)",""
19,"2023-11-26","Matchweek 14","Home","Rodrygo","Real Madrid","Y",0.34,0.82,"Right Foot",15,"64","1-0","Jeremías Ledesma","Luka Modrić","Rodrygo","Take-On","Luka Modrić","Pass (Live)",""
20,"2023-11-26","Matchweek 14","Home","Jude Bellingham","Real Madrid","Y",0.07,0.31,"Left Foot",12,"74","2-0","Jeremías Ledesma","Rodrygo","Rodrygo","Pass (Live)","Rodrygo","Take-On",""
21,"2023-11-29","Matchweek 13","Away","Abdón Prats","Mallorca","Y",0.08,0.28,"Head",10,"45+1","0-1","David Gil","Pablo Maffeo","Pablo Maffeo","Pass (Live)","Samu Costa","Pass (Live)",""
22,"2023-12-04","Matchweek 15","Away","Jørgen Strand Larsen","Celta Vigo","Y",0.58,0.84,"Right Foot",3,"57","0-1","David Gil","Manu Sánchez","Manu Sánchez","Pass (Live)","Óscar Mingueza","Pass (Live)",""
23,"2023-12-10","Matchweek 16","Home","Ante Budimir","Osasuna","Y",0.79,0.98,"Left Foot",13,"70","0-1","Jeremías Ledesma","","","Fouled","Ezequiel Ávila","Shot",""
24,"2023-12-17","Matchweek 17","Away","Pejiño","Las Palmas","Y",0.02,0.26,"Left Foot",27,"7","0-0","Jeremías Ledesma","","","","","",""
25,"2024-01-03","Matchweek 19","Away","Myrto Uzuni","Granada","Y",0.94,0.98,"Right Foot",2,"22","0-0","Jeremías Ledesma","Lucas Boyé","Lucas Boyé","Pass (Live)","Bryan Zaragoza","Pass (Dead)",""
26,"2024-01-03","Matchweek 19","Away","Bryan Zaragoza","Granada","Y",0.34,0.82,"Right Foot",9,"70","1-0","Jeremías Ledesma","Carlos Neva","Carlos Neva","Pass (Live)","Lucas Boyé","Pass (Live)",""
27,"2024-01-14","Matchweek 20","Home","Hugo Duro","Valencia","Y",0.52,0.94,"Left Foot",10,"8","0-0","Jeremías Ledesma","Diego López","Diego López","Pass (Live)","Diego López","Take-On",""
28,"2024-01-14","Matchweek 20","Home","Diego López","Valencia","Y",0.26,0.71,"Right Foot",13,"52","1-1","Jeremías Ledesma","Sergi Canós","Sergi Canós","Pass (Live)","","",""
29,"2024-01-14","Matchweek 20","Home","Javier Guerra","Valencia","N",0.43,0.69,"Right Foot",21,"90+4","2-1","Jeremías Ledesma","Diego López","Diego López","Pass (Live)","","",""
30,"2024-01-14","Matchweek 20","Home","Jesus Vazquez","Valencia","N",0.56,0.81,"Left Foot",8,"90+8","3-1","Jeremías Ledesma","Alberto Marí","Alberto Marí","Pass (Live)","Thierry Correia","Pass (Dead)",""
31,"2024-01-19","Matchweek 21","Away","Luis Rioja","Alavés","Y",0.79,0.98,"Left Foot",13,"51","0-0","Jeremías Ledesma","","Kiké","Fouled","Ander Guevara","Pass (Live)",""
32,"2024-02-09","Matchweek 24","Home","Willian José","Betis","Y",0.16,0.28,"Right Foot",16,"6","0-0","Jeremías Ledesma","Johnny Cardoso","Johnny Cardoso","Pass (Live)","Johnny Cardoso","Tackle",""
33,"2024-02-09","Matchweek 24","Home","Pablo Fornals","Betis","Y",0.04,0.41,"Left Foot",19,"46","1-0","Jeremías Ledesma","Willian José","Willian José","Pass (Live)","","","Deflected"
34,"2024-02-17","Matchweek 25","Away","Ante Budimir","Osasuna","Y",0.08,0.43,"Head",11,"63","0-0","Jeremías Ledesma","Rubén García","Rubén García","Pass (Live)","Jesús Areso","Pass (Live)",""
35,"2024-02-17","Matchweek 25","Away","Ante Budimir","Osasuna","Y",0.61,0.3,"Left Foot",14,"90+1","1-0","Jeremías Ledesma","Jesús Areso","Jesús Areso","Pass (Live)","Jesús Areso","Take-On",""
36,"2024-02-25","Matchweek 26","Home","Iago Aspas","Celta Vigo","Y*",0.12,0.12,"Left Foot",18,"11","0-0","Jeremías Ledesma","Luca de la Torre","Luca de la Torre","Pass (Live)","Manu Sánchez","Pass (Live)",""
37,"2024-02-25","Matchweek 26","Home","Williot Swedberg","Celta Vigo","N",0.15,0.07,"Right Foot",10,"58","1-0","Jeremías Ledesma","Manu Sánchez","Manu Sánchez","Pass (Live)","Iago Aspas","Pass (Live)","Deflected"
38,"2024-03-02","Matchweek 27","Away","Florian Lejeune","Rayo Vallecano","Y",0.35,0.09,"Right Foot",6,"78","0-0","Jeremías Ledesma","","","","","","Volley"
39,"2024-03-15","Matchweek 29","Away","Mikel Merino","Real Sociedad","Y",0.16,0.39,"Right Foot",11,"28","0-0","Jeremías Ledesma","Mikel Oyarzabal","Mikel Oyarzabal","Pass (Live)","Takefusa Kubo","Pass (Dead)",""
40,"2024-03-15","Matchweek 29","Away","Arsen Zakharyan","Real Sociedad","N",0.83,0.8,"Right Foot",5,"68","1-0","Jeremías Ledesma","Brais Méndez","Sheraldo Becker","Pass (Live)","Brais Méndez","Pass (Live)",""
41,"2024-04-13","Matchweek 31","Home","João Félix","Barcelona","Y",0.17,0.63,"Right Foot",7,"37","0-0","Jeremías Ledesma","","","","","","Volley"
42,"2024-04-20","Matchweek 32","Away","Eric García","Girona","Y",0.15,0.39,"Head",8,"9","0-0","Jeremías Ledesma","Sávio","Sávio","Pass (Live)","Iván Martín","Pass (Live)",""
43,"2024-04-20","Matchweek 32","Away","Iván Martín","Girona","Y",0.17,0.42,"Left Foot",12,"22","1-0","Jeremías Ledesma","Miguel Gutiérrez","Miguel Gutiérrez","Pass (Live)","Eric García","Pass (Live)",""
44,"2024-04-20","Matchweek 32","Away","Artem Dovbyk","Girona","Y",0.42,0.64,"Left Foot",9,"71","2-0","Jeremías Ledesma","Miguel Gutiérrez","Artem Dovbyk","Take-On","Miguel Gutiérrez","Pass (Live)",""
45,"2024-04-20","Matchweek 32","Away","Portu","Girona","N",0.83,0.44,"Right Foot",13,"82","3-1","Jeremías Ledesma","","Portu","Take-On","","",""
46,"2024-04-28","Matchweek 33","Home","Vedat Muriqi","Mallorca","Y",0.11,0.56,"Head",11,"12","0-0","Jeremías Ledesma","Martin Valjent","Martin Valjent","Pass (Live)","Dani Rodríguez","Pass (Live)",""
47,"2024-05-04","Matchweek 34","Away","Brahim Díaz","Real Madrid","Y",0.04,0.31,"Right Foot",19,"51","0-0","Jeremías Ledesma","Luka Modrić","Luka Modrić","Pass (Live)","Dani Ceballos","Pass (Live)",""
48,"2024-05-04","Matchweek 34","Away","Jude Bellingham","Real Madrid","N",0.18,0.59,"Right Foot",8,"68","1-0","Jeremías Ledesma","Brahim Díaz","Brahim Díaz","Pass (Live)","Luka Modrić","Pass (Live)",""
49,"2024-05-04","Matchweek 34","Away","Joselu","Real Madrid","Y",0.82,0.73,"Right Foot",8,"90+3","2-0","Jeremías Ledesma","Nacho","Nacho","Pass (Live)","Nacho","Take-On",""
50,"2024-05-25","Matchweek 38","Away","Gonzalo Melero","Almería","N",0.11,0.45,"Right Foot",22,"48","0-1","David Gil","Adri Embarba","Adri Embarba","Pass (Live)","Jonathan Viera","Pass (Live)","Deflected"
51,"2024-05-25","Matchweek 38","Away","Sergio Arribas","Almería","N",0.5,0.99,"Right Foot",3,"51","1-1","David Gil","","Sergio Arribas","Take-On","Sergio Arribas","Shot",""
52,"2024-05-25","Matchweek 38","Away","Joseba Zaldúa (OG)","Almería","Y",NA,NA,"",NA,"57","","","","","","","","Own Goal"
53,"2024-05-25","Matchweek 38","Away","Luis Javier Suárez","Almería","Y",0.13,0.13,"Right Foot",15,"65","3-1","David Gil","Jonathan Viera","Jonathan Viera","Pass (Live)","Adri Embarba","Pass (Live)",""
54,"2024-05-25","Matchweek 38","Away","Luis Javier Suárez","Almería","Y",0.43,0.76,"Right Foot",10,"71","4-1","David Gil","","Adri Embarba","Shot","","",""
55,"2024-05-25","Matchweek 38","Away","Sergio Arribas","Almería","N",0.06,0.13,"Left Foot",10,"86","5-1","David Gil","","Sergio Arribas","Pass (Live)","Lucas Robertone","Pass (Live)","Volley"
