;;;;;;;;;;;;;;;;;;;;;;;;
Fecha;Hora;Ronda;Día;Sedes;Resultado;GF;GC;Adversario;Gls.;Dis;DaP;% de TT;G/T;G/TalArc;Dist;FK;TP;TPint;xG;npxG;npxG/Sh;G-xG;np:G-xG;Informe del partido
29/03/2024;21:00;Semana 30 de partido;Vie;Local;V;1;0;Granada;1;13;5;38.5;0.08;0.20;16.0;0;0;0;1.6;1.6;0.12;-0.6;-0.6;Informe del partido
13/04/2024;21:00;Semana 31 de partido;Sáb;Local;D;0;1;Barcelona;0;14;3;21.4;0.00;0.00;17.5;0;0;0;1.0;1.0;0.07;-1.0;-1.0;Informe del partido
20/04/2024;21:00;Semana 32 de partido;Sáb;Visitante;D;1;4;Girona;1;12;5;41.7;0.08;0.20;15.9;0;0;0;1.6;1.6;0.16;-0.6;-0.6;Informe del partido
28/04/2024;14:00;Semana 33 de partido;Dom;Local;E;1;1;Mallorca;0;10;2;20.0;0.00;0.00;22.2;0;0;0;0.4;0.4;0.04;-0.4;-0.4;Informe del partido
04/05/2024;16:15;Semana 34 de partido;Sáb;Visitante;D;0;3;Real Madrid;0;7;2;28.6;0.00;0.00;14.5;0;0;0;0.9;0.9;0.14;-0.9;-0.9;Informe del partido
12/05/2024;14:00;Semana 35 de partido;Dom;Local;V;1;0;Getafe;1;12;5;41.7;0.00;0.00;20.2;1;1;1;1.5;0.7;0.06;-0.5;-0.7;Informe del partido
15/05/2024;19:30;Semana 36 de partido;Mié;Visitante;V;1;0;Sevilla;1;19;7;36.8;0.05;0.14;19.9;0;0;0;2.5;2.5;0.13;-1.5;-1.5;Informe del partido
19/05/2024;19:00;Semana 37 de partido;Dom;Local;E;0;0;Las Palmas;0;10;3;30.0;0.00;0.00;16.3;0;0;0;0.9;0.9;0.09;-0.9;-0.9;Informe del partido
25/05/2024;18:30;Semana 38 de partido;Sáb;Visitante;D;1;6;Almería;1;12;4;33.3;0.08;0.25;23.0;0;0;0;0.5;0.5;0.04;+0.5;+0.5;Informe del partido
;;;;;6-15-17;26;55;;25;395;120;30.4;0.06;0.18;18.4;21;3;3;36.0;33.6;0.09;-11.0;-11.6;
