"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2022-09-16","Matchweek 6","Away","Álvaro Negredo","Valladolid","N",0.03,0.39,"Left Foot",9,"90+2","0-0","Sergio Asenjo","Joseba Zaldúa","Joseba Zaldúa","Pass (Live)","Theo Bongonda","Pass (Live)","Volley"
2,"2022-10-09","Matchweek 8","Home","Víctor Chust","Espanyol","Y",0.8,0.98,"Right Foot",4,"41","0-0","Benjamin Lecomte","","Fede San Emeterio","Pass (Live)","Rubén Alcaraz","Pass (Live)",""
3,"2022-10-09","Matchweek 8","Home","Lucas Pérez","Espanyol","N",0.25,0.44,"Left Foot",10,"78","1-2","Benjamin Lecomte","Alfonso Espino","Alfonso Espino","Pass (Live)","Álex Fernández","Pass (Live)",""
4,"2022-10-15","Matchweek 9","Away","Álex Fernández","Girona","Y*",0.38,0.91,"Right Foot",5,"46","0-0","Juan Carlos","Álvaro Negredo","Álvaro Negredo","Pass (Live)","Álvaro Negredo","Take-On","Volley"
5,"2022-10-22","Matchweek 11","Away","Iván Balliu (OG)","Rayo Vallecano","Y",NA,NA,"",NA,"82","","","","","","","","Own Goal"
6,"2022-10-29","Matchweek 12","Home","Theo Bongonda","Atlético Madrid","Y",0.19,0.56,"Left Foot",15,"1","0-0","Jan Oblak","Alfonso Espino","Alfonso Espino","Pass (Live)","Mamadou Mbaye","Pass (Live)",""
7,"2022-10-29","Matchweek 12","Home","Álex Fernández","Atlético Madrid","Y*",0.06,0.09,"Left Foot",9,"81","1-0","Jan Oblak","Alfonso Espino","Alfonso Espino","Pass (Live)","Rubén Sobrino","Pass (Live)","Volley"
8,"2022-10-29","Matchweek 12","Home","Rubén Sobrino","Atlético Madrid","Y",0.43,0.93,"Left Foot",5,"90+9","2-2","Jan Oblak","Iván Alejo","Rubén Alcaraz","Pass (Live)","Rubén Sobrino","Pass (Live)",""
9,"2022-11-10","Matchweek 14","Away","Lucas Pérez","Real Madrid","N",0.32,0.8,"Left Foot",11,"81","0-2","Thibaut Courtois","","Álvaro Negredo","Shot","","",""
10,"2022-12-30","Matchweek 15","Home","Lucas Pérez","Almería","N",0.11,0.32,"Left Foot",10,"83","0-1","Fernando","Carlos García","Jeremías Ledesma","Fouled","","","Volley"
11,"2023-01-06","Matchweek 16","Away","Rubén Alcaraz","Valencia","Y",0.14,0.52,"Right Foot",17,"9","0-0","Giorgi Mamardashvili","Rubén Sobrino","Rubén Sobrino","Pass (Live)","Luis Hernández","Pass (Live)",""
12,"2023-01-16","Matchweek 17","Home","Brian Ocampo","Elche","Y",0.04,0.57,"Right Foot",23,"7","0-0","Édgar Badía","","Fali","Pass (Live)","Luis Hernández","Pass (Live)",""
13,"2023-01-28","Matchweek 19","Home","Theo Bongonda","Mallorca","Y",0.5,0.75,"Left Foot",9,"10","0-0","Predrag Rajković","Álvaro Negredo","Álvaro Negredo","Pass (Live)","Brian Ocampo","Pass (Live)",""
14,"2023-01-28","Matchweek 19","Home","Álex Fernández","Mallorca","Y*",0.79,0.99,"Right Foot",13,"38","1-0","Predrag Rajković","","","Fouled","Anthony Lozano","Shot",""
15,"2023-02-03","Matchweek 20","Away","Gonzalo Escalante","Athletic Club","Y",0.9,0.95,"Right Foot",2,"25","0-1","Unai Simón","Brian Ocampo","Brian Ocampo","Pass (Live)","Brian Ocampo","Take-On",""
16,"2023-02-10","Matchweek 21","Home","Gonzalo Escalante","Girona","Y",0.12,0.07,"Left Foot",11,"6","0-0","Paulo Gazzaniga","Theo Bongonda","Brian Ocampo","Pass (Live)","Brian Ocampo","Take-On","Deflected"
17,"2023-02-10","Matchweek 21","Home","Sergi Guardiola","Girona","Y",0.17,0.26,"Left Foot",17,"34","1-0","Paulo Gazzaniga","Theo Bongonda","Theo Bongonda","Pass (Live)","Theo Bongonda","Take-On",""
