"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
18,"2023-02-25","Matchweek 23","Home","Sergi Guardiola","Rayo Vallecano","Y",0.33,0.41,"Left Foot",11,"74","0-0","Stole Dimitrievski","","Alfonso Espino","Pass (Dead)","","",""
19,"2023-03-10","Matchweek 25","Home","Rubén Sobrino","Getafe","Y",0.21,0.88,"Head",6,"39","0-0","David Soria","Isaac Carcelen","Isaac Carcelen","Pass (Live)","Isaac Carcelen","Take-On",""
20,"2023-03-10","Matchweek 25","Home","Rubén Alcaraz","Getafe","Y",0.79,0.9,"Right Foot",13,"82","1-1","David Soria","","","Fouled","Gonzalo Escalante","Shot",""
21,"2023-03-18","Matchweek 26","Away","Roger Martí","Almería","Y",0.28,0.88,"Left Foot",5,"49","0-0","Fernando","","","","","","Deflected"
22,"2023-04-09","Matchweek 28","Away","Rubén Alcaraz","Betis","Y",0.79,0.96,"Right Foot",13,"53","0-0","Rui Silva","","","Fouled","Theo Bongonda","Shot",""
23,"2023-04-09","Matchweek 28","Away","Chris Ramos","Betis","Y",0.98,0.92,"Right Foot",4,"59","1-0","Rui Silva","Theo Bongonda","Theo Bongonda","Pass (Live)","Alfonso Espino","Pass (Live)",""
24,"2023-04-30","Matchweek 32","Home","Gonzalo Escalante","Valencia","Y",0.74,0.97,"Head",2,"39","0-0","Giorgi Mamardashvili","Rubén Sobrino","Rubén Sobrino","Pass (Live)","Luis Hernández","Pass (Dead)",""
25,"2023-04-30","Matchweek 32","Home","Sergi Guardiola","Valencia","Y",0.68,0.94,"Left Foot",3,"46","1-0","Giorgi Mamardashvili","Alfonso Espino","Alfonso Espino","Pass (Live)","Alfonso Espino","Take-On",""
26,"2023-05-03","Matchweek 33","Away","Anthony Lozano","Atlético Madrid","N",0.02,0.45,"Right Foot",30,"72","0-4","Ivo Grbić","José Antonio","José Antonio","Pass (Live)","Anthony Lozano","Pass (Live)",""
27,"2023-05-19","Matchweek 35","Home","Theo Bongonda","Valladolid","Y",0.04,0.15,"Left Foot",26,"69","0-0","Jordi Masip","Anthony Lozano","Anthony Lozano","Pass (Live)","Anthony Lozano","Take-On",""
28,"2023-05-19","Matchweek 35","Home","Theo Bongonda","Valladolid","Y",0.79,0.99,"Left Foot",13,"76","1-0","Jordi Masip","","Anthony Lozano","Fouled","Rubén Sobrino","Pass (Live)",""
29,"2023-05-28","Matchweek 37","Home","Rubén Sobrino","Celta Vigo","Y",0.29,0.75,"Left Foot",11,"53","0-0","Iván Villar","Gonzalo Escalante","Gonzalo Escalante","Pass (Live)","Gonzalo Escalante","Take-On",""
30,"2023-06-04","Matchweek 38","Away","Gonzalo Escalante","Elche","Y",0.6,0.54,"Right Foot",7,"10","0-0","Édgar Badía","Fede San Emeterio","Fede San Emeterio","Shot","","",""
