"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2023-08-12","21:30","Matchweek 1","Sat","Away","W","2","0","Real Madrid","2","14","8","57.1","0.14","0.25","16.0","2","0","0","0.9","0.9","0.07","+1.1","+1.1","Match Report"
"2023-08-19","21:30","Matchweek 2","Sat","Home","L","0","2","Osasuna","0","18","7","38.9","0.00","0.00","17.8","2","0","0","1.3","1.3","0.07","-1.3","-1.3","Match Report"
"2023-08-27","21:30","Matchweek 3","Sun","Away","L","2","4","Betis","2","9","4","44.4","0.22","0.50","17.5","1","0","0","0.4","0.4","0.05","+1.6","+1.6","Match Report"
"2023-09-03","16:15","Matchweek 4","Sun","Home","D","0","0","Mallorca","0","8","1","12.5","0.00","0.00","17.9","0","0","0","0.4","0.4","0.05","-0.4","-0.4","Match Report"
"2023-09-16","14:00","Matchweek 5","Sat","Away","L","0","3","Cádiz","0","5","4","80.0","0.00","0.00","21.8","1","0","0","0.3","0.3","0.06","-0.3","-0.3","Match Report"
"2023-09-22","21:00","Matchweek 6","Fri","Home","L","0","2","Alavés","0","15","5","33.3","0.00","0.00","15.4","0","0","0","1.1","1.1","0.08","-1.1","-1.1","Match Report"
"2023-09-27","19:00","Matchweek 7","Wed","Away","D","2","2","Getafe","2","13","5","38.5","0.15","0.40","16.9","0","0","0","1.4","1.4","0.10","+0.6","+0.6","Match Report"
"2023-09-30","21:00","Matchweek 8","Sat","Home","W","3","0","Real Sociedad","3","8","5","62.5","0.38","0.60","18.0","1","0","0","1.4","1.4","0.18","+1.6","+1.6","Match Report"
"2023-10-06","21:00","Matchweek 9","Fri","Away","L","0","3","Almería","0","4","1","25.0","0.00","0.00","23.6","0","0","0","0.1","0.1","0.03","-0.1","-0.1","Match Report"
"2023-10-22","21:00","Matchweek 10","Sun","Home","W","1","0","Barcelona","1","12","7","58.3","0.08","0.14","15.4","0","0","0","1.3","1.3","0.11","-0.3","-0.3","Match Report"
"2023-10-29","18:30","Matchweek 11","Sun","Away","D","2","2","Valencia","2","11","4","36.4","0.18","0.50","14.7","0","0","0","1.9","1.9","0.17","+0.1","+0.1","Match Report"
"2023-11-05","18:30","Matchweek 12","Sun","Home","L","2","3","Villarreal","2","17","6","35.3","0.12","0.33","16.3","0","0","0","2.1","2.1","0.12","-0.1","-0.1","Match Report"
"2023-11-10","21:00","Matchweek 13","Fri","Away","L","3","4","Celta Vigo","3","12","4","33.3","0.25","0.75","21.2","0","0","1","2.1","1.4","0.12","+0.9","+1.6","Match Report"
