"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
11,"2022-09-10","Matchweek 5","Home","Frenkie de Jong","Barcelona","Y",0.61,0.2,"Right Foot",10,"55","0-0","Jeremías Ledesma","","Raphinha","Pass (Live)","Ronald Araújo","Pass (Live)",""
12,"2022-09-10","Matchweek 5","Home","Robert Lewandowski","Barcelona","N",0.92,0.97,"Right Foot",2,"65","1-0","Jeremías Ledesma","","","","","",""
13,"2022-09-10","Matchweek 5","Home","Ansu Fati","Barcelona","N",0.86,0.75,"Left Foot",8,"86","2-0","Jeremías Ledesma","Robert Lewandowski","Robert Lewandowski","Pass (Live)","Ousmane Dembélé","Pass (Live)",""
14,"2022-09-10","Matchweek 5","Home","Ousmane Dembélé","Barcelona","N",0.08,0.07,"Right Foot",18,"90+2","3-0","Jeremías Ledesma","Robert Lewandowski","Robert Lewandowski","Pass (Live)","Marc-André ter Stegen","Pass (Live)",""
15,"2022-10-09","Matchweek 8","Home","Joselu","Espanyol","Y",0.25,0.48,"Head",8,"51","0-1","Jeremías Ledesma","Brian Oliván","Brian Oliván","Pass (Live)","Edu Expósito","Pass (Live)",""
16,"2022-10-09","Matchweek 8","Home","Joselu","Espanyol","Y",0.39,0.49,"Right Foot",10,"67","1-1","Jeremías Ledesma","Edu Expósito","Edu Expósito","Pass (Live)","Vinicius Souza","Pass (Live)",""
17,"2022-10-15","Matchweek 9","Away","Cristhian Stuani","Girona","N",0.79,1,"Right Foot",13,"90+11","0-1","Jeremías Ledesma","","Manu Vallejo","Fouled","Bernardo Espinosa","Shot",""
18,"2022-10-22","Matchweek 11","Away","Isaac Palazón Camacho","Rayo Vallecano","Y",0.79,0.99,"Left Foot",13,"44","0-0","Jeremías Ledesma","","Álvaro García","Fouled","Isaac Palazón Camacho","Pass (Live)",""
19,"2022-10-22","Matchweek 11","Away","Álvaro García","Rayo Vallecano","Y",0.16,0.13,"Left Foot",13,"45+1","1-0","Jeremías Ledesma","Catena","Catena","Pass (Live)","Fran Garcia","Pass (Live)",""
20,"2022-10-22","Matchweek 11","Away","Florian Lejeune","Rayo Vallecano","Y",0.03,0.26,"Right Foot",32,"63","2-0","Jeremías Ledesma","","Fran Garcia","Fouled","Fran Garcia","Take-On",""
21,"2022-10-22","Matchweek 11","Away","Sergio Camello","Rayo Vallecano","Y",0.37,0.69,"Right Foot",12,"79","3-0","Jeremías Ledesma","Isaac Palazón Camacho","Isaac Palazón Camacho","Pass (Live)","Randy Nteka","Pass (Live)",""
22,"2022-10-22","Matchweek 11","Away","Florian Lejeune","Rayo Vallecano","Y",0.6,0.55,"Left Foot",4,"89","4-1","Jeremías Ledesma","Sergio Camello","Sergio Camello","Shot","","",""
23,"2022-10-29","Matchweek 12","Home","João Félix","Atlético Madrid","N",0.07,0.08,"Right Foot",8,"85","0-2","Jeremías Ledesma","Saúl Ñíguez","Saúl Ñíguez","Pass (Live)","Antoine Griezmann","Pass (Dead)","Deflected, Volley"
24,"2022-10-29","Matchweek 12","Home","João Félix","Atlético Madrid","N",0.03,0.13,"Right Foot",27,"89","1-2","Jeremías Ledesma","Antoine Griezmann","Antoine Griezmann","Pass (Live)","Rodrigo De Paul","Pass (Live)",""
25,"2022-11-10","Matchweek 14","Away","Éder Militão","Real Madrid","Y",0.22,0.17,"Head",10,"40","0-0","Jeremías Ledesma","Toni Kroos","Toni Kroos","Pass (Live)","Luka Modrić","Pass (Live)",""
26,"2022-11-10","Matchweek 14","Away","Toni Kroos","Real Madrid","Y",0.02,0.17,"Right Foot",24,"70","1-0","Jeremías Ledesma","","Toni Kroos","Pass (Live)","Éder Militão","Pass (Live)","Volley"
27,"2022-12-30","Matchweek 15","Home","Gonzalo Melero","Almería","Y",0.19,0.28,"Right Foot",12,"40","0-0","Jeremías Ledesma","","Léo Baptistão","Shot","","",""
28,"2023-01-16","Matchweek 17","Home","Ezequiel Ponce","Elche","N",0.18,0.17,"Head",11,"81","0-1","Jeremías Ledesma","Lautaro Blanco","Lautaro Blanco","Pass (Live)","Lucas Boyé","Pass (Live)",""
29,"2023-01-21","Matchweek 18","Away","Ivan Rakitić","Sevilla","Y",0.79,0.98,"Right Foot",13,"89","0-0","Jeremías Ledesma","","","Fouled","Jesús Navas","Pass (Dead)",""
30,"2023-02-03","Matchweek 20","Away","Oihan Sancet","Athletic Club","Y",0.04,0.11,"Right Foot",16,"10","0-0","Jeremías Ledesma","","Óscar de Marcos","Pass (Live)","Iker Muniain","Pass (Live)","Deflected, Volley"
31,"2023-02-03","Matchweek 20","Away","Oihan Sancet","Athletic Club","Y",0.33,0.69,"Right Foot",15,"35","1-1","Jeremías Ledesma","Raúl García","Raúl García","Pass (Live)","Álex Berenguer","Shot",""
32,"2023-02-03","Matchweek 20","Away","Yeray Álvarez","Athletic Club","Y",0.14,0.18,"Head",11,"44","2-1","Jeremías Ledesma","Iker Muniain","Iker Muniain","Pass (Dead)","Iker Muniain","Fouled",""
33,"2023-02-03","Matchweek 20","Away","Oihan Sancet","Athletic Club","Y",0.31,0.83,"Left Foot",17,"75","3-1","Jeremías Ledesma","Nico Williams","Nico Williams","Pass (Live)","Raúl García","Pass (Live)","Volley"
34,"2023-02-19","Matchweek 22","Away","Sergi Roberto","Barcelona","Y*",0.39,0.69,"Right Foot",10,"43","0-0","Jeremías Ledesma","","Robert Lewandowski","Shot","","",""
35,"2023-02-19","Matchweek 22","Away","Robert Lewandowski","Barcelona","Y",0.06,0.18,"Right Foot",18,"45+1","1-0","Jeremías Ledesma","Sergi Roberto","Sergi Roberto","Pass (Live)","Frenkie de Jong","Pass (Live)",""
36,"2023-03-10","Matchweek 25","Home","Enes Ünal","Getafe","Y",0.79,1,"Right Foot",13,"61","0-1","Jeremías Ledesma","","Enes Ünal","Fouled","Iglesias","Pass (Dead)",""
37,"2023-03-10","Matchweek 25","Home","Enes Ünal","Getafe","Y",0.79,0.99,"Right Foot",13,"90+16","1-2","Jeremías Ledesma","","","Fouled","Djené","Pass (Live)",""
38,"2023-03-18","Matchweek 26","Away","Gonzalo Melero","Almería","N",0.79,0.98,"Right Foot",13,"90+6","0-1","David Gil","","Luis Javier Suárez","Fouled","Gonzalo Melero","Pass (Live)",""
39,"2023-04-01","Matchweek 27","Home","Lucas Ocampos","Sevilla","Y",0.13,0.04,"Right Foot",11,"51","0-0","David Gil","","Jesús Navas","Pass (Live)","Pape Gueye","Pass (Live)","Deflected"
40,"2023-04-01","Matchweek 27","Home","Youssef En-Nesyri","Sevilla","Y",0.25,0.33,"Right Foot",11,"74","1-0","David Gil","Bryan Gil","Bryan Gil","Pass (Live)","Loïc Bade","Pass (Dead)",""
41,"2023-04-15","Matchweek 29","Home","Nacho","Real Madrid","Y",0.02,0.27,"Right Foot",29,"72","0-0","David Gil","Aurélien Tchouaméni","Aurélien Tchouaméni","Pass (Live)","Dani Ceballos","Pass (Live)",""
42,"2023-04-15","Matchweek 29","Home","Marco Asensio","Real Madrid","Y",0.06,0.37,"Left Foot",16,"76","1-0","David Gil","Federico Valverde","Federico Valverde","Pass (Live)","Aurélien Tchouaméni","Pass (Live)",""
43,"2023-04-25","Matchweek 31","Home","Rubén García","Osasuna","Y",0.03,0.18,"Left Foot",28,"62","0-0","Jeremías Ledesma","Manu Sánchez","Manu Sánchez","Pass (Live)","Juan Cruz Armada","Pass (Live)",""
44,"2023-04-30","Matchweek 32","Home","Samuel Lino","Valencia","Y",0.23,0.32,"Right Foot",12,"51","0-2","Jeremías Ledesma","","Samuel Lino","Take-On","","",""
45,"2023-05-03","Matchweek 33","Away","Antoine Griezmann","Atlético Madrid","Y",0.12,0.37,"Left Foot",13,"2","0-0","Jeremías Ledesma","Yannick Carrasco","Yannick Carrasco","Pass (Live)","Thomas Lemar","Pass (Live)",""
46,"2023-05-03","Matchweek 33","Away","Antoine Griezmann","Atlético Madrid","Y",0.1,0.3,"Left Foot",15,"27","1-0","Jeremías Ledesma","Thomas Lemar","Thomas Lemar","Pass (Live)","Antoine Griezmann","Pass (Live)",""
47,"2023-05-03","Matchweek 33","Away","Álvaro Morata","Atlético Madrid","Y",0.25,0.47,"Right Foot",8,"49","2-0","Jeremías Ledesma","Mario Hermoso","Mario Hermoso","Pass (Live)","Mario Hermoso","Shot",""
48,"2023-05-03","Matchweek 33","Away","Yannick Carrasco","Atlético Madrid","Y",0.79,0.99,"Right Foot",13,"57","3-0","Jeremías Ledesma","","","Fouled","Thomas Lemar","Take-On",""
49,"2023-05-03","Matchweek 33","Away","Nahuel Molina","Atlético Madrid","Y",0.5,0.7,"Right Foot",7,"73","4-1","Jeremías Ledesma","Rodrigo De Paul","Rodrigo De Paul","Pass (Live)","Koke","Pass (Live)",""
50,"2023-05-12","Matchweek 34","Away","Pablo Maffeo","Mallorca","Y",0.72,0.97,"Head",3,"16","0-0","Jeremías Ledesma","","Iddrisu Baba","Shot","","",""
51,"2023-05-24","Matchweek 36","Away","Nicolas Jackson","Villarreal","Y",0.64,0.87,"Right Foot",4,"20","0-0","Jeremías Ledesma","","Nicolas Jackson","Take-On","Daniel Parejo","Pass (Live)",""
52,"2023-05-24","Matchweek 36","Away","Nicolas Jackson","Villarreal","Y",0.4,0.43,"Right Foot",19,"45+2","1-0","Jeremías Ledesma","Gerard Moreno","Nicolas Jackson","Take-On","Gerard Moreno","Pass (Live)",""
53,"2023-06-04","Matchweek 38","Away","Lucas Boyé","Elche","Y",0.27,0.49,"Head",8,"71","0-1","Jeremías Ledesma","Gerard Gumbau","Gerard Gumbau","Pass (Live)","Josan","Pass (Dead)",""
