"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2022-08-14","Matchweek 1","Home","Takefusa Kubo","Real Sociedad","Y",0.44,0.27,"Right Foot",16,"24","0-0","Jeremías Ledesma","Mikel Merino","Mikel Merino","Pass (Live)","Brais Méndez","Pass (Live)","Volley"
2,"2022-08-20","Matchweek 2","Away","Ezequiel Ávila","Osasuna","Y",0.79,0.95,"Right Foot",13,"37","0-0","Jeremías Ledesma","","Ante Budimir","Fouled","Jon Moncayola","Shot",""
3,"2022-08-20","Matchweek 2","Away","Kiké","Osasuna","N",0.79,0.99,"Right Foot",13,"79","1-0","Jeremías Ledesma","","Kiké","Fouled","Moi Gómez","Pass (Live)",""
4,"2022-08-29","Matchweek 3","Home","Iñaki Williams","Athletic Club","Y",0.03,0.13,"Right Foot",13,"24","0-0","Jeremías Ledesma","","Iñaki Williams","Take-On","","",""
5,"2022-08-29","Matchweek 3","Home","Gorka Guruzeta","Athletic Club","N",0.07,0.21,"Right Foot",22,"56","1-0","Jeremías Ledesma","Iñigo Lekue","Iñigo Lekue","Pass (Live)","","",""
6,"2022-08-29","Matchweek 3","Home","Álex Berenguer","Athletic Club","Y",0.42,0.99,"Right Foot",5,"78","2-0","Jeremías Ledesma","Nico Williams","Nico Williams","Shot","","","Deflected"
7,"2022-08-29","Matchweek 3","Home","Gorka Guruzeta","Athletic Club","N",0.14,0.32,"Right Foot",16,"90+3","3-0","Jeremías Ledesma","Jon Morcillo","Jon Morcillo","Pass (Live)","Raúl García","Pass (Live)",""
8,"2022-09-02","Matchweek 4","Away","Iago Aspas","Celta Vigo","Y",0.06,0.13,"Left Foot",27,"56","0-0","Jeremías Ledesma","Gabriel Veiga","Gabriel Veiga","Pass (Live)","","","Deflected"
9,"2022-09-02","Matchweek 4","Away","Óscar Rodríguez Arnaiz","Celta Vigo","Y",0.29,0.71,"Right Foot",16,"62","1-0","Jeremías Ledesma","Jørgen Strand Larsen","Jørgen Strand Larsen","Pass (Live)","Gabriel Veiga","Pass (Live)",""
10,"2022-09-02","Matchweek 4","Away","Iago Aspas","Celta Vigo","Y",0.05,0.09,"Left Foot",29,"75","2-0","Jeremías Ledesma","Franco Cervi","Franco Cervi","Pass (Live)","Augusto Solari","Pass (Live)",""
