"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2022-03-18","21:00","Matchweek 29","Fri","Home","D","1","1","Getafe","1","22","11","50.0","0.05","0.09","16.3","0","0","0","2.0","2.0","0.09","-1.0","-1.0","Match Report"
"2022-04-03","14:00","Matchweek 30","Sun","Home","W","2","1","Elche","2","16","6","37.5","0.13","0.33","13.8","2","0","0","1.9","1.9","0.12","+0.1","+0.1","Match Report"
"2022-04-09","18:30","Matchweek 31","Sat","Away","D","1","1","Villarreal","1","12","6","50.0","0.08","0.17","16.2","0","0","0","1.8","1.8","0.15","-0.8","-0.8","Match Report"
"2022-04-17","18:30","Matchweek 32","Sun","Home","L","0","2","Celta Vigo","0","10","2","20.0","0.00","0.00","16.3","0","0","0","0.5","0.5","0.05","-0.5","-0.5","Match Report"
"2022-04-21","20:00","Matchweek 33","Thu","Away","W","3","2","Cádiz","3","8","6","75.0","0.38","0.50","16.3","0","0","1","1.6","0.7","0.09","+1.4","+2.3","Match Report"
"2022-04-30","21:00","Matchweek 34","Sat","Home","W","2","0","Atlético Madrid","1","10","3","30.0","0.00","0.00","17.9","1","1","1","1.3","0.5","0.05","-0.3","-0.5","Match Report"
"2022-05-07","16:15","Matchweek 35","Sat","Home","D","0","0","Valencia","0","10","5","50.0","0.00","0.00","13.7","0","0","0","1.3","1.3","0.13","-1.3","-1.3","Match Report"
"2022-05-10","20:00","Matchweek 36","Tue","Away","L","0","1","Granada","0","8","1","12.5","0.00","0.00","17.5","0","0","0","0.3","0.3","0.04","-0.3","-0.3","Match Report"
"2022-05-15","19:30","Matchweek 37","Sun","Home","W","2","0","Osasuna","2","14","8","57.1","0.14","0.25","16.6","0","0","0","1.1","1.1","0.08","+0.9","+0.9","Match Report"
"2022-05-22","22:00","Matchweek 38","Sun","Away","L","0","1","Sevilla","0","10","1","10.0","0.00","0.00","17.5","0","0","0","0.7","0.7","0.07","-0.7","-0.7","Match Report"
