"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2021-08-16","22:00","Matchweek 1","Mon","Away","D","0","0","Elche","0","9","3","33.3","0.00","0.00","20.4","0","0","0","0.6","0.6","0.07","-0.6","-0.6","Match Report"
"2021-08-21","22:00","Matchweek 2","Sat","Home","D","1","1","Barcelona","1","16","6","37.5","0.06","0.17","15.6","1","0","0","1.4","1.4","0.09","-0.4","-0.4","Match Report"
"2021-08-28","17:00","Matchweek 3","Sat","Away","W","1","0","Celta Vigo","1","6","2","33.3","0.17","0.50","12.9","0","0","0","1.4","1.4","0.24","-0.4","-0.4","Match Report"
"2021-09-11","21:00","Matchweek 4","Sat","Home","W","2","0","Mallorca","2","19","5","26.3","0.11","0.40","15.5","1","0","0","1.4","1.4","0.08","+0.6","+0.6","Match Report"
"2021-09-18","16:15","Matchweek 5","Sat","Away","D","0","0","Atlético Madrid","0","6","0","0.0","0.00","","15.6","0","0","0","1.0","1.0","0.17","-1.0","-1.0","Match Report"
"2021-09-21","22:00","Matchweek 6","Tue","Home","L","1","2","Rayo Vallecano","0","8","1","12.5","0.00","0.00","18.5","0","0","0","0.9","0.9","0.12","-0.9","-0.9","Match Report"
"2021-09-25","16:15","Matchweek 7","Sat","Away","D","1","1","Valencia","1","12","4","33.3","0.08","0.25","16.8","0","0","0","0.8","0.8","0.07","+0.2","+0.2","Match Report"
"2021-10-01","21:00","Matchweek 8","Fri","Home","W","1","0","Alavés","1","15","4","26.7","0.07","0.25","14.0","0","0","1","2.0","1.2","0.08","-1.0","-0.2","Match Report"
"2021-10-23","21:00","Matchweek 10","Sat","Home","W","2","1","Villarreal","2","12","5","41.7","0.08","0.20","19.1","1","1","2","2.8","1.2","0.10","-0.8","-0.2","Match Report"
"2021-10-26","21:00","Matchweek 11","Tue","Away","D","1","1","Espanyol","1","23","6","26.1","0.04","0.17","14.5","0","0","0","3.3","3.3","0.15","-2.3","-2.3","Match Report"
"2021-10-31","21:00","Matchweek 12","Sun","Away","D","1","1","Real Sociedad","1","11","5","45.5","0.09","0.20","14.9","1","0","0","1.0","1.0","0.10","0.0","0.0","Match Report"
"2021-11-05","21:00","Matchweek 13","Fri","Home","L","0","1","Cádiz","0","15","4","26.7","0.00","0.00","17.1","1","0","0","0.5","0.5","0.04","-0.5","-0.5","Match Report"
"2021-11-19","21:00","Matchweek 14","Fri","Away","D","0","0","Levante","0","7","2","28.6","0.00","0.00","16.1","0","0","0","0.5","0.5","0.08","-0.5","-0.5","Match Report"
"2021-11-26","21:00","Matchweek 15","Fri","Home","D","2","2","Granada","1","17","4","23.5","0.06","0.25","21.1","1","0","0","1.1","1.1","0.07","-0.1","-0.1","Match Report"
"2021-12-01","21:00","Matchweek 9","Wed","Away","L","0","1","Real Madrid","0","18","2","11.1","0.00","0.00","15.7","0","0","0","2.4","2.4","0.13","-2.4","-2.4","Match Report"
"2021-12-06","21:00","Matchweek 16","Mon","Away","D","0","0","Getafe","0","9","3","33.3","0.00","0.00","22.6","1","0","0","0.5","0.5","0.06","-0.5","-0.5","Match Report"
"2021-12-11","21:00","Matchweek 17","Sat","Home","L","0","1","Sevilla","0","13","2","15.4","0.00","0.00","18.7","0","0","0","1.4","1.4","0.11","-1.4","-1.4","Match Report"
"2021-12-19","16:15","Matchweek 18","Sun","Home","W","3","2","Betis","3","9","6","66.7","0.33","0.50","14.7","0","0","0","1.3","1.3","0.15","+1.7","+1.7","Match Report"
"2021-12-22","21:30","Matchweek 21","Wed","Home","L","1","2","Real Madrid","1","15","2","13.3","0.07","0.50","18.4","0","0","0","1.0","1.0","0.06","0.0","0.0","Match Report"
"2022-01-03","21:00","Matchweek 19","Mon","Away","W","3","1","Osasuna","3","17","5","29.4","0.18","0.60","19.7","0","0","0","1.4","1.4","0.08","+1.6","+1.6","Match Report"
"2022-01-09","18:30","Matchweek 20","Sun","Away","D","0","0","Alavés","0","10","2","20.0","0.00","0.00","17.9","0","0","0","0.8","0.8","0.08","-0.8","-0.8","Match Report"
"2022-01-23","18:30","Matchweek 22","Sun","Away","W","1","0","Rayo Vallecano","1","9","3","33.3","0.11","0.33","18.4","0","0","0","0.4","0.4","0.05","+0.6","+0.6","Match Report"
"2022-02-07","21:00","Matchweek 23","Mon","Home","W","2","1","Espanyol","2","7","4","57.1","0.29","0.50","19.7","1","0","0","0.8","0.8","0.12","+1.2","+1.2","Match Report"
"2022-02-14","21:00","Matchweek 24","Mon","Away","L","2","3","Mallorca","2","7","2","28.6","0.29","1.00","13.7","0","0","0","1.6","1.6","0.23","+0.4","+0.4","Match Report"
"2022-02-20","21:00","Matchweek 25","Sun","Home","W","4","0","Real Sociedad","4","17","7","41.2","0.24","0.57","16.0","0","0","1","2.8","2.0","0.12","+1.2","+2.0","Match Report"
"2022-02-27","21:00","Matchweek 26","Sun","Away","L","0","4","Barcelona","0","6","3","50.0","0.00","0.00","19.6","0","0","0","0.3","0.3","0.05","-0.3","-0.3","Match Report"
"2022-03-07","21:00","Matchweek 27","Mon","Home","W","3","1","Levante","3","16","7","43.8","0.13","0.29","14.2","0","1","1","3.1","2.3","0.15","-0.1","-0.3","Match Report"
"2022-03-13","16:15","Matchweek 28","Sun","Away","L","0","1","Betis","0","11","2","18.2","0.00","0.00","18.7","0","0","0","0.5","0.5","0.05","-0.5","-0.5","Match Report"
