"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2023-08-14","Matchweek 1","Home","Fede San Emeterio","Alavés","Y",0.06,0.07,"Head",5,"7","0-0","Antonio Sivera","Javi Hernández","Javi Hernández","Pass (Dead)","Iván Alejo","Fouled",""
2,"2023-08-26","Matchweek 3","Home","Luis Hernández","Almería","Y",0.95,0.97,"Left Foot",2,"59","0-0","Luís Maximiano","Gonzalo Escalante","Gonzalo Escalante","Pass (Live)","Javi Hernández","Pass (Dead)",""
3,"2023-09-01","Matchweek 4","Home","Chris Ramos","Villarreal","Y",0.64,0.82,"Right Foot",4,"18","0-1","Filip Jørgensen","","Rubén Alcaraz","Shot","","",""
4,"2023-09-01","Matchweek 4","Home","Darwin Machís","Villarreal","Y",0.79,0.99,"Right Foot",13,"30","1-1","Filip Jørgensen","","Chris Ramos","Fouled","Rubén Alcaraz","Pass (Live)",""
5,"2023-09-01","Matchweek 4","Home","Darwin Machís","Villarreal","Y",0.01,0.11,"Right Foot",25,"50","2-1","Filip Jørgensen","Gonzalo Escalante","Gonzalo Escalante","Pass (Live)","Darwin Machís","Pass (Live)",""
6,"2023-09-24","Matchweek 6","Away","Chris Ramos","Betis","Y",0.06,0.69,"Head",11,"41","0-0","Claudio Bravo","","Iván Alejo","Pass (Live)","Javi Hernández","Pass (Live)",""
7,"2023-10-01","Matchweek 8","Away","Lucas","Atlético Madrid","Y",0.35,0.69,"Left Foot",5,"12","0-0","Jan Oblak","Chris Ramos","Rubén Alcaraz","Pass (Live)","","",""
8,"2023-10-01","Matchweek 8","Away","Roger Martí","Atlético Madrid","Y",0.07,0.02,"Right Foot",17,"27","1-0","Jan Oblak","","","","","",""
9,"2023-10-28","Matchweek 11","Home","Chris Ramos","Sevilla","Y",0.43,0.84,"Right Foot",16,"8","0-0","Ørjan Nyland","Roger Martí","Roger Martí","Pass (Live)","Lucas","Tackle",""
10,"2023-10-28","Matchweek 11","Home","Darwin Machís","Sevilla","Y",0.12,0.07,"Left Foot",14,"28","1-0","Ørjan Nyland","Roger Martí","Roger Martí","Pass (Live)","","",""
11,"2023-11-29","Matchweek 13","Away","Rubén Alcaraz","Mallorca","Y",0.1,0.23,"Right Foot",28,"12","0-0","Predrag Rajković","","Iván Alejo","Fouled","","",""
12,"2023-12-04","Matchweek 15","Away","Chris Ramos","Celta Vigo","Y",0.25,0.69,"Head",10,"16","0-0","Vicente Guaita","Iván Alejo","Iván Alejo","Pass (Live)","Roger Martí","Pass (Live)",""
13,"2023-12-10","Matchweek 16","Home","Roger Martí","Osasuna","Y",0.17,0.08,"Head",6,"19","0-0","Sergio Herrera","Iván Alejo","Iván Alejo","Pass (Live)","","",""
14,"2023-12-17","Matchweek 17","Away","Chris Ramos","Las Palmas","Y",0.18,0.16,"Head",6,"83","0-1","Álvaro Vallés","Roberto Navarro","Roberto Navarro","Pass (Dead)","Maxi Gómez","Shot",""
15,"2024-01-14","Matchweek 20","Home","Rubén Alcaraz","Valencia","Y",0.79,0.98,"Right Foot",13,"21","0-1","Giorgi Mamardashvili","","Rubén Alcaraz","Shot","","",""
16,"2024-02-25","Matchweek 26","Home","Juanmi","Celta Vigo","Y",0.57,0.4,"Right Foot",7,"66","0-2","Vicente Guaita","Sergi Guardiola","Sergi Guardiola","Pass (Live)","Javi Hernández","Pass (Live)",""
17,"2024-02-25","Matchweek 26","Home","Darwin Machís","Celta Vigo","N",0.01,0.3,"Right Foot",25,"90+10","1-2","Vicente Guaita","","Javi Hernández","Shot","","",""
18,"2024-03-02","Matchweek 27","Away","Javi Hernández","Rayo Vallecano","Y",0.16,0.68,"Left Foot",14,"90+1","0-1","Stole Dimitrievski","Víctor Chust","Víctor Chust","Pass (Live)","Jorge Meré","Pass (Live)",""
19,"2024-03-09","Matchweek 28","Home","Juanmi","Atlético Madrid","Y",0.67,0.93,"Head",4,"24","0-0","Jan Oblak","Rubén Sobrino","Rubén Sobrino","Pass (Live)","Roberto Navarro","Pass (Live)",""
20,"2024-03-09","Matchweek 28","Home","Juanmi","Atlético Madrid","Y",0.26,0.55,"Right Foot",14,"64","1-0","Jan Oblak","Javi Hernández","Javi Hernández","Pass (Live)","Jeremías Ledesma","Pass (Dead)","Volley"
21,"2024-03-29","Matchweek 30","Home","Roberto Navarro","Granada","Y",0.34,0.69,"Right Foot",15,"51","0-0","Augusto Batalla","Rubén Alcaraz","Rubén Alcaraz","Pass (Live)","Álex Fernández","Pass (Live)",""
22,"2024-04-20","Matchweek 32","Away","Gonzalo Escalante","Girona","N",0.71,0.85,"Right Foot",3,"81","0-3","Paulo Gazzaniga","Roger Martí","Roger Martí","Shot","","",""
23,"2024-04-28","Matchweek 33","Home","Omar Mascarell (OG)","Mallorca","Y",NA,NA,"",NA,"59","","","","","","","","Own Goal"
24,"2024-05-12","Matchweek 35","Home","Rubén Alcaraz","Getafe","Y",0.79,0.99,"Right Foot",13,"35","0-0","David Soria","","Chris Ramos","Fouled","Joseba Zaldúa","Pass (Live)",""
25,"2024-05-15","Matchweek 36","Away","Sergi Guardiola","Sevilla","N",0.42,0.86,"Left Foot",12,"90+6","0-0","Ørjan Nyland","Juanmi","Juanmi","Pass (Live)","Jeremías Ledesma","Pass (Live)",""
