"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
37,"2021-03-10","Matchweek 18","Away","Iker Muniain","Atlético Madrid","Y*",0.43,0.82,"Left Foot",11,"21","0-0","Jan Oblak","Iñaki Williams","Iñaki Williams","Pass (Live)","Óscar de Marcos","Pass (Live)",""
38,"2021-03-20","Matchweek 28","Home","Yuri Berchiche","Eibar","Y",0.06,0.15,"Left Foot",13,"9","0-0","Marko Dmitrović","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Álex Berenguer","Pass (Live)","Volley"
39,"2021-04-07","Matchweek 29","Away","Asier Villalibre","Real Sociedad","N",0.24,0.56,"Head",7,"85","0-0","Álex Remiro","Álex Berenguer","Álex Berenguer","Pass (Live)","Unai Vencedor Paris","Pass (Dead)",""
40,"2021-04-25","Matchweek 32","Home","Álex Berenguer","Atlético Madrid","Y",0.62,0.98,"Head",4,"8","0-0","Jan Oblak","","Oihan Sancet","Pass (Live)","Álex Berenguer","Pass (Live)",""
41,"2021-04-25","Matchweek 32","Home","Iñigo Martínez","Atlético Madrid","Y",0.07,0.08,"Head",10,"86","1-1","Jan Oblak","Ibai Gómez","Ibai Gómez","Pass (Dead)","","",""
42,"2021-04-28","Matchweek 33","Home","Jon Morcillo","Valladolid","Y",0.03,0.32,"Left Foot",26,"14","0-0","Jordi Masip","","","","","",""
43,"2021-04-28","Matchweek 33","Home","Raúl García","Valladolid","N",0.82,0.97,"Left Foot",4,"76","1-1","Jordi Masip","Iñaki Williams","Iñaki Williams","Pass (Live)","Ibai Gómez","Pass (Live)",""
44,"2021-05-03","Matchweek 34","Away","Iñaki Williams","Sevilla","N",0.37,0.95,"Right Foot",16,"90","0-0","Yassine Bounou","Oihan Sancet","Oihan Sancet","Pass (Live)","","",""
45,"2021-05-08","Matchweek 35","Home","Jon Morcillo","Osasuna","Y",0.32,0.33,"Left Foot",10,"1","0-0","Sergio Herrera","Asier Villalibre","Asier Villalibre","Pass (Live)","Álex Berenguer","Pass (Live)","Deflected"
46,"2021-05-08","Matchweek 35","Home","Oihan Sancet","Osasuna","Y",0.35,0.14,"Head",5,"62","1-1","Sergio Herrera","Álex Berenguer","Álex Berenguer","Pass (Live)","Óscar de Marcos","Pass (Live)",""
