"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2020-09-27","Matchweek 3","Away","Unai López","Eibar","Y",0.07,0.61,"Right Foot",19,"40","0-0","Marko Dmitrović","Iñaki Williams","Iñaki Williams","Pass (Live)","Jon Morcillo","Pass (Live)",""
2,"2020-09-27","Matchweek 3","Away","Unai López","Eibar","Y",0.16,0.75,"Right Foot",10,"87","1-1","Marko Dmitrović","Ander Capa","Ander Capa","Pass (Live)","Oihan Sancet","Pass (Live)",""
3,"2020-10-18","Matchweek 6","Home","Álex Berenguer","Levante","Y",0.06,0.63,"Left Foot",10,"68","0-0","Koke Vegas","Dani García","Dani García","Pass (Live)","Raúl García","Pass (Live)","Deflected, Volley"
4,"2020-10-18","Matchweek 6","Home","Iñaki Williams","Levante","Y",0.82,0.99,"Right Foot",2,"79","1-0","Koke Vegas","Jon Morcillo","Dani García","Pass (Live)","","",""
5,"2020-10-31","Matchweek 8","Home","Iker Muniain","Sevilla","N",0.33,0.57,"Right Foot",3,"76","0-1","Yassine Bounou","Mikel Vesga","Mikel Vesga","Shot","","","Volley"
6,"2020-10-31","Matchweek 8","Home","Oihan Sancet","Sevilla","N",0.08,0.13,"Right Foot",6,"86","1-1","Yassine Bounou","Iñaki Williams","Iñaki Williams","Pass (Live)","Mikel Vesga","Pass (Live)","Volley"
7,"2020-11-08","Matchweek 9","Away","Iñaki Williams","Valladolid","Y",0.79,0.98,"Right Foot",13,"86","0-2","Jordi Masip","","Yuri Berchiche","Fouled","Mikel Vesga","Tackle",""
8,"2020-11-23","Matchweek 10","Home","Víctor Ruiz (OG)","Betis","Y",NA,NA,"",NA,"9","0-0","Claudio Bravo","","","","","","Own Goal"
9,"2020-11-23","Matchweek 10","Home","Ander Capa","Betis","Y",0.51,0.8,"Head",2,"33","1-0","Claudio Bravo","","Asier Villalibre","Shot","","",""
10,"2020-11-23","Matchweek 10","Home","Iker Muniain","Betis","Y*",0.69,0.93,"Head",3,"59","2-0","Claudio Bravo","","Iker Muniain","Shot","","",""
11,"2020-11-23","Matchweek 10","Home","Álex Berenguer","Betis","Y",0.09,0.55,"Left Foot",10,"68","3-0","Claudio Bravo","Yuri Berchiche","Yuri Berchiche","Pass (Live)","Iker Muniain","Pass (Live)","Volley"
12,"2020-11-29","Matchweek 11","Away","Asier Villalibre","Getafe","Y",0.07,0.31,"Head",9,"9","0-0","David Soria","Álex Berenguer","Álex Berenguer","Pass (Dead)","Iker Muniain","Fouled","Deflected"
13,"2020-12-12","Matchweek 13","Away","Asier Villalibre","Valencia","Y",0.69,0.91,"Left Foot",3,"55","0-1","Jaume Doménech","Yuri Berchiche","Yuri Berchiche","Pass (Live)","Álex Berenguer","Pass (Live)",""
14,"2020-12-12","Matchweek 13","Away","Raúl García","Valencia","N",0.79,0.95,"Right Foot",13,"79","1-1","Jaume Doménech","","Iker Muniain","Fouled","Iker Muniain","Take-On",""
15,"2020-12-15","Matchweek 19","Away","Ander Capa","Real Madrid","Y",0.12,0.28,"Left Foot",10,"52","0-1","Thibaut Courtois","","Ander Capa","Shot","","","Deflected"
16,"2020-12-18","Matchweek 14","Home","Kenan Kodro","Huesca","N",0.79,0.94,"Right Foot",13,"86","0-0","Álvaro Fernández","","Kenan Kodro","Fouled","Álex Berenguer","Pass (Live)",""
17,"2020-12-18","Matchweek 14","Home","Unai Núñez","Huesca","Y",0.32,0.74,"Head",4,"90+1","1-0","Álvaro Fernández","Jon Morcillo","Jon Morcillo","Pass (Dead)","Kenan Kodro","Shot",""
18,"2020-12-22","Matchweek 15","Away","Iñaki Williams","Villarreal","Y",0.45,0.46,"Right Foot",12,"19","0-0","Sergio Asenjo","Yuri Berchiche","Yuri Berchiche","Pass (Live)","Mikel Vesga","Pass (Live)",""
19,"2021-01-03","Matchweek 17","Home","Iker Muniain","Elche","Y*",0.7,0.94,"Right Foot",4,"25","0-0","Édgar Badía","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Iñaki Williams","Pass (Live)","Volley"
20,"2021-01-06","Matchweek 2","Home","Iñaki Williams","Barcelona","Y",0.16,0.24,"Right Foot",13,"3","0-0","Marc-André ter Stegen","Raúl García","Iñaki Williams","Take-On","Raúl García","Pass (Live)",""
21,"2021-01-06","Matchweek 2","Home","Iker Muniain","Barcelona","Y*",0.06,0.41,"Right Foot",20,"90","1-3","Marc-André ter Stegen","Álex Berenguer","Álex Berenguer","Pass (Live)","","",""
22,"2021-01-25","Matchweek 20","Home","Raúl García","Getafe","Y",0.35,0.71,"Right Foot",10,"12","0-1","Rubén Yáñez","Iker Muniain","Iker Muniain","Pass (Live)","Mikel Balenziaga","Pass (Live)","Volley"
23,"2021-01-25","Matchweek 20","Home","Yeray Álvarez","Getafe","Y",0.06,0.11,"Head",14,"50","1-1","Rubén Yáñez","Iker Muniain","Iker Muniain","Pass (Dead)","Iker Muniain","Fouled",""
24,"2021-01-25","Matchweek 20","Home","Raúl García","Getafe","Y",0.05,0.41,"Head",14,"61","2-1","Rubén Yáñez","Mikel Balenziaga","Mikel Balenziaga","Pass (Live)","Iker Muniain","Pass (Live)",""
25,"2021-01-25","Matchweek 20","Home","Álex Berenguer","Getafe","N",0.46,0.75,"Left Foot",3,"75","3-1","Rubén Yáñez","Iñaki Williams","Iñaki Williams","Pass (Live)","Iker Muniain","Pass (Live)",""
26,"2021-01-25","Matchweek 20","Home","Óscar de Marcos","Getafe","Y",0.45,0.92,"Right Foot",9,"82","4-1","Rubén Yáñez","Asier Villalibre","Asier Villalibre","Pass (Live)","Unai López","Pass (Live)","Volley"
27,"2021-01-31","Matchweek 21","Away","Jordi Alba (OG)","Barcelona","Y",NA,NA,"",NA,"49","0-1","Marc-André ter Stegen","","","","","","Own Goal"
28,"2021-02-07","Matchweek 22","Home","Hugo Guillamón (OG)","Valencia","Y",NA,NA,"",NA,"43","0-0","Jaume Doménech","","","","","","Own Goal"
29,"2021-02-15","Matchweek 23","Away","Álex Berenguer","Cádiz","Y",0.52,0.56,"Right Foot",11,"4","0-0","Jeremías Ledesma","Iñaki Williams","Álex Berenguer","Take-On","Iñaki Williams","Pass (Live)",""
30,"2021-02-15","Matchweek 23","Away","Unai López","Cádiz","Y",0.06,0.21,"Right Foot",26,"15","1-0","Jeremías Ledesma","","Iker Muniain","Fouled","Álex Berenguer","Pass (Live)","Deflected"
31,"2021-02-15","Matchweek 23","Away","Álex Berenguer","Cádiz","Y",0.62,0.87,"Right Foot",8,"29","2-0","Jeremías Ledesma","Iker Muniain","Iker Muniain","Pass (Live)","Iñaki Williams","Pass (Live)",""
32,"2021-02-15","Matchweek 23","Away","Iñaki Williams","Cádiz","Y",0.05,0.07,"Right Foot",12,"52","3-0","Jeremías Ledesma","Unai Núñez","Unai Núñez","Pass (Live)","Ander Capa","Pass (Live)",""
33,"2021-02-21","Matchweek 24","Home","Álex Berenguer","Villarreal","Y",0.86,0.98,"Right Foot",2,"44","0-1","Sergio Asenjo","","","","","",""
34,"2021-02-26","Matchweek 25","Away","Raúl García","Levante","Y",0.79,0.99,"Right Foot",13,"56","0-1","Aitor Fernández","","Álex Berenguer","Fouled","","",""
35,"2021-03-07","Matchweek 26","Home","Asier Villalibre","Granada","Y",0.25,0.72,"Left Foot",11,"3","0-0","Rui Silva","Oihan Sancet","Oihan Sancet","Pass (Live)","Jon Morcillo","Pass (Live)",""
36,"2021-03-07","Matchweek 26","Home","Álex Berenguer","Granada","N",0.04,0.16,"Left Foot",17,"90+1","1-1","Rui Silva","","Óscar de Marcos","Pass (Live)","Dani García","Pass (Live)",""
